,p,adjustedP,F,T2,df1,df2,D2
"('musical_expertise', 'song_power')",0.5562233718436004,12.79313755240281,0.8903928689336407,1.9786508198525348,2,9,0.6783945668065834
"('musical_expertise', 'song_tension')",0.5007984791354618,11.518365020115622,0.7072698977125315,1.4508100465898082,2,39,0.13817238538950555
"('musical_expertise', 'song_engagement')",0.7733021305824803,17.785949003397047,1.5687907676869044,3.253788258906172,2,27,0.43577521324636237
"('musical_expertise', 'song_activity')",0.20239521228728383,4.655089882607528,0.22804676083779865,0.472985874330249,2,27,0.06334632245494407
"('musical_expertise', 'song_positivity')",0.8353838978639954,19.213829650871894,1.9302462271644172,4.003473656341013,2,27,0.5361795075456713
"('musical_expertise', 'song_familiarity')",0.23955600078201542,5.509788017986355,0.2766492899514653,0.5737911198993355,2,27,0.07684702498651816
"('musical_expertise', 'musicpref_classical')",0.28525492703749283,6.560863321862335,0.338189950287969,0.6904711485046033,2,48,0.0543426366878623
"('musical_expertise', 'age')",0.49036842330773267,11.278473736077851,0.6836224305622967,1.395729129064689,2,48,0.1098490518245357
"('song_power', 'musicpref_world')",0.3196487280229539,7.3519207445279395,0.40210843373493993,0.8935742971887554,2,9,0.3063683304647161
"('song_power', 'musicpref_classical')",0.5563093599444915,12.795115278723305,0.890625,1.9791666666666667,2,9,0.6785714285714286
"('song_power', 'musicpref_dance')",0.4316954834435742,9.928996119202207,0.6021126760563379,1.338028169014084,2,9,0.4587525150905431
"('song_power', 'musicpref_rock')",0.8762355648414057,20.15341799135233,2.6590909090909087,5.909090909090908,2,9,2.0259740259740258
"('song_power', 'musicpref_pop')",0.41498854597027995,9.544736557316439,0.5693673695893454,1.2652608213096563,2,9,0.43380371016331076
"('song_power', 'musicpref_jazz')",0.3889199135978444,8.94515801275042,0.5204918032786884,1.1566484517304185,2,9,0.3965651834504292
"('song_power', 'age')",0.5994445281024047,13.787224146355307,1.0145451706910926,2.2545448237579837,2,9,0.772986796717023
"('song_like_dislike', 'song_tension')",0.3628072390154935,8.34456649735635,0.4531999844317044,0.9175900919357965,2,81,0.0437195506083987
"('song_like_dislike', 'song_engagement')",0.4482408579816124,10.309539733577084,0.5990305543435661,1.2128519865721585,2,81,0.05778761592289355
"('song_like_dislike', 'song_activity')",0.44161066935185206,10.157045395092597,0.5869108370375188,1.1883132996809023,2,81,0.05661844422756426
"('song_like_dislike', 'song_positivity')",0.3414890073497785,7.854247169044905,0.4199362478465712,0.8502412919362676,2,81,0.04051064578709386
"('song_like_dislike', 'age')",0.6399072388937411,14.717866494556047,1.0343821363480128,2.0943045723589395,2,81,0.09978535682254731
"('song_tension', 'song_engagement')",0.4243880383203454,9.760924881367943,0.5561048631985392,1.1259407106735857,2,81,0.05364663624309767
"('song_tension', 'song_positivity')",0.16445303564897212,3.782419819926359,0.18006784044072227,0.3645818003984994,2,81,0.017370885555005076
"('song_positivity', 'song_familiarity')",0.30759709975286254,7.0747332943158385,0.36926047839257703,0.747638499461514,2,81,0.035622027200662036
