,p,adjustedP,F,T2,df1,df2,D2
"('personality_extraversion', 'personality_agreeableness')",0.9944858256044676,9.944858256044677,5.578289889958531,11.305334176982623,2,75,0.5990598273129379
"('personality_extraversion', 'personality_conscientiousness')",0.8188569688132036,8.188569688132036,1.7479843395163461,3.5425815947531283,2,75,0.1877183182002337
"('personality_extraversion', 'personality_neuroticism')",0.8409829167300584,8.409829167300584,1.884569271059212,3.8193937226800028,2,75,0.2023863521528806
"('personality_extraversion', 'personality_openness')",0.834720773853856,8.347207738538561,1.8440243796951017,3.7372227428487395,2,75,0.19803218338464787
"('personality_agreeableness', 'personality_conscientiousness')",0.9909050780823557,9.909050780823558,5.007277973424432,10.148083359473516,2,75,0.5377381127981891
"('personality_agreeableness', 'personality_neuroticism')",0.9932202465667738,9.932202465667737,5.341588333128109,10.8256190218063,2,75,0.5736401383837577
"('personality_agreeableness', 'personality_openness')",0.9933275080254563,9.933275080254564,5.359811118524763,10.86255053354352,2,75,0.5755971070763549
"('personality_conscientiousness', 'personality_neuroticism')",0.5847589652567954,5.847589652567954,0.8892765031256293,1.8022670463346089,2,75,0.09550056359653498
"('personality_conscientiousness', 'personality_openness')",0.18954031908316307,1.8954031908316307,0.21074364748752591,0.4271071255747192,2,75,0.02263203518670387
"('personality_neuroticism', 'personality_openness')",0.6319465694988595,6.319465694988596,1.0129670303448817,2.0529465148322936,2,75,0.10878385065008078
