,p,adjustedP,F,T2,df1,df2,D2
"('musical_expertise', 'song_power')",0.2836327071733251,4.254490607599877,0.3410910496383416,0.7276609058951287,2,15,0.1701025494300301
"('musical_expertise', 'song_like_dislike')",0.41880497201481814,6.282074580222272,0.5593632768934402,1.1808780289972627,2,18,0.2296151723050233
"('musical_expertise', 'song_tension')",0.1460714311965299,2.1910714679479484,0.1586023964145246,0.32601603707430055,2,36,0.034550612624722074
"('musical_expertise', 'song_engagement')",0.9771918875159763,14.657878312739644,4.69862656183734,9.919322741656607,2,18,1.9287571997665625
"('musical_expertise', 'song_activity')",0.954421211762889,14.316318176443335,3.6843690066985992,7.7781123474748215,2,18,1.5124107342312154
"('musical_expertise', 'song_positivity')",0.10450509047595258,1.5675763571392887,0.11105837683910774,0.23445657332700526,2,18,0.04558877814691769
"('musical_expertise', 'song_familiarity')",0.8130585698245184,12.195878547367776,1.84336592178771,3.8915502793296106,2,18,0.7566903320918686
"('musical_expertise', 'musicpref_classical')",0.8437488867733491,12.656233301600237,1.9228513010247543,3.9182630285032727,2,53,0.28570667916169695
"('musical_expertise', 'musicpref_dance')",0.03090817020223797,0.4636225530335696,0.03141450950109132,0.06401447219090307,2,53,0.004667721930586683
"('song_power', 'song_tension')",0.11490329473234073,1.723549420985111,0.12305699481865288,0.2625215889464595,2,15,0.06136868313034118
"('song_power', 'musicpref_classical')",0.7779894145337318,11.669841218005978,1.6666666666666672,3.5555555555555567,2,15,0.8311688311688313
"('song_power', 'musicpref_dance')",0.16803731369545094,2.520559705431764,0.186242523110386,0.39731738263549016,2,15,0.09287938814855613
"('song_power', 'musicpref_rock')",0.986912552346298,14.80368828519447,5.870488322717621,12.523708421797593,2,15,2.9276201505500867
"('song_power', 'musicpref_pop')",0.07386362248245273,1.107954337236791,0.07712765957446809,0.16453900709219857,2,15,0.038463663995578885
"('song_power', 'age')",0.4207174525191964,6.310761787787946,0.5663278722775767,1.2081661275254971,2,15,0.28242844539557077
