,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.869597851517953,1,2.0693906351829563,4.170618049368727,2,130,0.12543921315378578
"('song_activity', 'song_familiarity')",0.8438592470493851,1,1.883778300705001,3.796537806036233,2,130,0.1141880434651332
"('song_activity', 'song_like_dislike')",0.9774844362590913,1,3.9064339269493558,7.872966837390241,2,130,0.23679434404633695
"('song_activity', 'song_positivity')",0.8121561395450265,1,1.6938380194590352,3.4137350853712864,2,130,0.10267452880017663
"('song_activity', 'song_tension')",0.8589316584085397,1,1.988315287918562,4.007220041805102,2,130,0.12052470953416522
"('song_activity', 'age')",0.9743666225209944,1,3.7690883227828396,7.596162619762338,2,130,0.22846893451569222
"('song_activity', 'musical_expertise')",0.6462962880023042,1,1.0542335071904332,2.1373501241669057,2,73,0.11375252761672607
"('song_activity', 'concentration')",0.47979818994807655,1,0.6609580861119592,1.34470783036571,2,58,0.09114130850256479
"('song_activity', 'personality_artistic')",0.6089203666142834,1,0.9542064435322939,1.9413165575312186,2,58,0.13157812223267148
"('song_activity', 'personality_fault')",0.49543427092042336,1,0.6921888041343841,1.4082461877216779,2,58,0.0954477971678026
"('song_activity', 'personality_imagination')",0.20246644856932142,1,0.22711609829095525,0.4620637861781503,2,58,0.0313176566187413
"('song_activity', 'personality_lazy')",0.434722598118392,1,0.5760860089238417,1.1720370526381605,2,58,0.07943806690103088
"('song_activity', 'personality_nervous')",0.1945702080238185,1,0.21718849338118457,0.44186624515482376,2,58,0.029948712171604722
"('song_activity', 'personality_outgoing')",0.2671069152356324,1,0.3124263925199089,0.6356261089198146,2,58,0.04308132516012077
"('song_activity', 'personality_reserved')",0.19619933360247654,1,0.2192284552422228,0.4460165123893498,2,58,0.03023000806194482
"('song_activity', 'personality_stress')",0.7019674521526894,1,1.2361740051530343,2.5149747001389318,2,58,0.1704593963427498
"('song_activity', 'personality_thorough')",0.6824203378265044,1,1.1700126040786216,2.380370470366851,2,58,0.16133622076930879
"('song_activity', 'personality_trusting')",0.3120895066514511,1,0.3765198557607989,0.7660231548236942,2,58,0.051919347160272605
"('song_engagement', 'song_familiarity')",0.7452326899831316,1,1.381889093837668,2.785038019888223,2,130,0.08376527739600491
"('song_engagement', 'song_like_dislike')",0.980179111258633,1,4.04169778168992,8.145575529251992,2,130,0.2449935652172128
"('song_engagement', 'song_positivity')",0.8812721424680731,1,2.1662355953266323,4.365797892119828,2,130,0.13130961547985914
"('song_engagement', 'song_tension')",0.8089930632238136,1,1.6767064117092219,3.3792083066755088,2,130,0.1016360707344737
"('song_engagement', 'age')",0.991969031727807,1,5.00800413530549,10.093054488077218,2,130,0.3035676723008299
"('song_engagement', 'musical_expertise')",0.6606300971779449,1,1.0968214197972614,2.2236927415067766,2,73,0.11834779296534666
"('song_engagement', 'concentration')",0.595530549476325,1,0.9194539122693625,1.870613131858358,2,58,0.1267860011592887
"('song_engagement', 'personality_artistic')",0.4935672752287994,1,0.6884075151096943,1.400553220395585,2,58,0.09492638493792299
"('song_engagement', 'personality_fault')",0.46944802800317,1,0.6408148198864632,1.3037267025276318,2,58,0.08836369872687282
"('song_engagement', 'personality_imagination')",0.24309682323845286,1,0.2798617013093579,0.5693738061121418,2,58,0.03859089130315628
"('song_engagement', 'personality_lazy')",0.4529444310714996,1,0.6095219978878683,1.2400619957029044,2,58,0.08404864637541909
"('song_engagement', 'personality_nervous')",0.23381585776785838,1,0.26755948110864297,0.5443451512210322,2,58,0.03689450469386996
"('song_engagement', 'personality_outgoing')",0.2151655625098106,1,0.24329739835494907,0.4949843621704136,2,58,0.033548940102661365
"('song_engagement', 'personality_reserved')",0.1963290480908758,1,0.2193910651953416,0.4463473395353501,2,58,0.030252430790729284
"('song_engagement', 'personality_stress')",0.6131193054963173,1,0.965358551587792,1.9640053290924044,2,58,0.1331159167495963
"('song_engagement', 'personality_thorough')",0.7379258394078061,1,1.3705275383034818,2.7883146468932907,2,58,0.18898577051165638
"('song_engagement', 'personality_trusting')",0.30028089454308793,1,0.3592836888803067,0.730956470480624,2,58,0.04954260522146452
"('song_familiarity', 'song_like_dislike')",0.9672174720539098,1,3.5093152537117214,7.072619972865161,2,130,0.212722400812091
"('song_familiarity', 'song_positivity')",0.4114681028771222,1,0.532291823696594,1.0727727523731356,2,130,0.03226566622922366
"('song_familiarity', 'song_tension')",0.757857376202899,1,1.4338136064902929,2.8896858838496673,2,130,0.0869127595097254
"('song_familiarity', 'age')",0.9218028156909109,1,2.599142300170444,5.238271404958895,2,130,0.1575509038578772
"('song_familiarity', 'musical_expertise')",0.21422601075159797,1,0.24188402783450855,0.49039501533571594,2,73,0.02609945459769917
"('song_familiarity', 'concentration')",0.40030099224141164,1,0.5158618718474342,1.0495120841034005,2,58,0.07113359681145269
"('song_familiarity', 'personality_artistic')",0.47448523920366403,1,0.6505668640852227,1.323567068311315,2,58,0.08970843462998912
"('song_familiarity', 'personality_fault')",0.5312949896830518,1,0.7677690562524018,1.5620129075479898,2,58,0.1058697637338082
"('song_familiarity', 'personality_imagination')",0.08868659951080418,1,0.09301728067276377,0.18924205378251938,2,58,0.012826405867481868
"('song_familiarity', 'personality_lazy')",0.3092854423317753,1,0.3723994091855506,0.757640177308534,2,58,0.05135116757313397
"('song_familiarity', 'personality_nervous')",0.09698272389682787,1,0.10219323155337678,0.2079103676430769,2,58,0.014091702695808546
"('song_familiarity', 'personality_outgoing')",0.16067525167154142,1,0.17568761663745788,0.3574334269520695,2,58,0.024226043382306932
"('song_familiarity', 'personality_reserved')",0.09634948152507385,1,0.1014897638711842,0.20647917477240924,2,58,0.013994699623463292
"('song_familiarity', 'personality_stress')",0.6681932531296773,1,1.1244549235744727,2.28768415485841,2,58,0.1550541482737367
"('song_familiarity', 'personality_thorough')",0.7149514450701722,1,1.2826515854913396,2.6095325359996218,2,58,0.17686831632886327
"('song_familiarity', 'personality_trusting')",0.21542492821886636,1,0.2436306997220529,0.49566245805521103,2,58,0.03359489993485319
"('song_like_dislike', 'song_positivity')",0.9989886442141049,1,7.275608575385007,14.663149590391322,2,130,0.4410219121488118
"('song_like_dislike', 'song_tension')",0.9726566171588831,1,3.7007983159886924,7.458531990684903,2,130,0.22432943346021983
"('song_like_dislike', 'age')",0.9995746604068126,1,8.245164639974304,16.617177966717442,2,130,0.49979300533094073
"('song_like_dislike', 'musical_expertise')",0.7428193836597703,1,1.383554526539481,2.805014656545797,2,73,0.1492864943259668
"('song_like_dislike', 'concentration')",0.41823329968404915,1,0.5467764421028593,1.112407244278231,2,58,0.07539649100108009
"('song_like_dislike', 'personality_artistic')",0.566082866366763,1,0.8470361592141311,1.723280461849439,2,58,0.11680012019201753
"('song_like_dislike', 'personality_fault')",0.5227339790206135,1,0.7491952112441307,1.5242247401173692,2,58,0.10330856571906613
"('song_like_dislike', 'personality_imagination')",0.11974163289810505,1,0.12782068246618927,0.26004897467259197,2,58,0.0176255416166979
"('song_like_dislike', 'personality_lazy')",0.33416472069228303,1,0.40957833724494014,0.833280065429361,2,58,0.05647787110132335
"('song_like_dislike', 'personality_nervous')",0.10607560499394686,1,0.11235115041038955,0.22857647842113735,2,58,0.015492405759654866
"('song_like_dislike', 'personality_outgoing')",0.18034025806894646,1,0.1995493914515623,0.4059797964014543,2,58,0.027516408422765235
"('song_like_dislike', 'personality_reserved')",0.11124059572642984,1,0.11816882081413753,0.2404124285529005,2,58,0.016294620157474366
"('song_like_dislike', 'personality_stress')",0.6816373485577809,1,1.1674509094489667,2.3751587468099666,2,58,0.16098298172823108
"('song_like_dislike', 'personality_thorough')",0.6909079844679842,1,1.1982083851231196,2.4377343007677257,2,58,0.1652242137187014
"('song_like_dislike', 'personality_trusting')",0.20371281375398992,1,0.22869238639447997,0.46527071714739027,2,58,0.031535015273323114
"('song_positivity', 'song_tension')",0.5682280011043586,1,0.84530690737193,1.703618536395736,2,130,0.051239544400866775
"('song_positivity', 'age')",0.8151275689736479,1,1.7102006025105179,3.4467119835211975,2,130,0.10366637128184515
"('song_positivity', 'musical_expertise')",0.15901562413085465,1,0.17359369810294614,0.3519433879347401,2,73,0.01873088059036432
"('song_positivity', 'concentration')",0.5042317614676629,1,0.7102036651330127,1.4448971118223362,2,58,0.09793191535684723
"('song_positivity', 'personality_artistic')",0.4688795789032668,1,0.6397203212679476,1.301499963958928,2,58,0.08821277533499401
"('song_positivity', 'personality_fault')",0.42135411031355013,1,0.552257172153398,1.1235576950707062,2,58,0.07615224377701453
"('song_positivity', 'personality_imagination')",0.12422272517272591,1,0.13294728572453418,0.27047896061198334,2,58,0.018332462885923318
"('song_positivity', 'personality_lazy')",0.3738397132948307,1,0.471947986133609,0.9601700407545838,2,58,0.06507819165114401
"('song_positivity', 'personality_nervous')",0.13928252808758487,1,0.15037751141694933,0.3059404542620693,2,58,0.02073596412220692
"('song_positivity', 'personality_outgoing')",0.14908268317574236,1,0.16189051180499647,0.3293634550515445,2,58,0.022323523064604684
"('song_positivity', 'personality_reserved')",0.1146944784132884,1,0.12207870447326537,0.24836701944560885,2,58,0.016833764651313487
"('song_positivity', 'personality_stress')",0.6027307065502908,1,0.9379909757880918,1.9083264679826695,2,58,0.12934212727438094
"('song_positivity', 'personality_thorough')",0.7379120567443245,1,1.3704724636880363,2.788202598537729,2,58,0.18897817612311274
"('song_positivity', 'personality_trusting')",0.21497680583198492,1,0.24305490569544438,0.49449101503555926,2,58,0.033515502130187905
"('song_tension', 'age')",0.8846573976280756,1,2.1937595587941496,4.419084003326344,2,139,0.12450593818895653
"('song_tension', 'musical_expertise')",0.3413894445583073,1,0.41975705957188864,0.8497520962065063,2,82,0.04026138694400949
"('song_tension', 'concentration')",0.395106195691899,1,0.5070847151040097,1.031655110039192,2,58,0.06992329079154523
"('song_tension', 'personality_artistic')",0.4751606354415278,1,0.651881778782391,1.3262422395917608,2,58,0.08988975179455268
"('song_tension', 'personality_fault')",0.41720511792218845,1,0.5449774202787369,1.1087471653946714,2,58,0.07514841898786107
"('song_tension', 'personality_imagination')",0.03641673678812795,1,0.03712011410557809,0.07552023214583128,2,58,0.005118593512106343
"('song_tension', 'personality_lazy')",0.2957583029712568,1,0.35276195458424137,0.7176881144989737,2,58,0.04864330553826377
"('song_tension', 'personality_nervous')",0.03036411307512818,1,0.03085105075685739,0.06276593085015814,2,58,0.004254135313177384
"('song_tension', 'personality_outgoing')",0.08715913189691778,1,0.0913372439632109,0.18582404806308422,2,58,0.01259474103538682
"('song_tension', 'personality_reserved')",0.02989446653371048,1,0.03036630341450663,0.06177972073985832,2,58,0.004187292183479286
"('song_tension', 'personality_stress')",0.6265589510140235,1,1.0019139806857011,2.0383767193260813,2,58,0.13815664430987884
"('song_tension', 'personality_thorough')",0.6783325338507417,1,1.1567099308735516,2.35330641108757,2,58,0.15950187897371307
"('song_tension', 'personality_trusting')",0.1384366151860366,1,0.14939011730058022,0.3039316179563528,2,58,0.020599809661486137
"('age', 'musical_expertise')",0.056369144655230435,1,0.058056059327861974,0.11734735396057208,2,94,0.0048643988607587575
"('age', 'concentration')",0.9646537693035462,1,3.5428161088798134,7.20779829047962,2,58,0.4885285507991743
"('age', 'personality_artistic')",0.9393775277964681,1,2.9430328524832126,5.987549596431363,2,58,0.405822805980348
"('age', 'personality_fault')",0.9706787661361654,1,3.753203433519904,7.6358276750922185,2,58,0.5175394313118059
"('age', 'personality_imagination')",0.9285463700468426,1,2.76247977130185,5.620217465752039,2,58,0.3809258504565271
"('age', 'personality_lazy')",0.9265391677712013,1,2.7321516043726506,5.558515333034013,2,58,0.37674381701674975
"('age', 'personality_nervous')",0.9270870597903047,1,2.7403441960871313,5.575183019625543,2,58,0.3778735157746201
"('age', 'personality_outgoing')",0.9279362175479607,1,2.753168282015799,5.601273401342488,2,58,0.37964186386876864
"('age', 'personality_reserved')",0.9277623681987415,1,2.7505301063347534,5.5959060784051875,2,58,0.3792780786474627
"('age', 'personality_stress')",0.9578202883554824,1,3.3450791611253625,6.80550587953091,2,58,0.4612620651682061
"('age', 'personality_thorough')",0.9767344897987851,1,4.015528503562157,8.169523507247147,2,58,0.5537121488245289
"('age', 'personality_trusting')",0.9293103529992427,1,2.7742555170234895,5.644175017392616,2,58,0.3825496400677218
"('musical_expertise', 'concentration')",0.632585131438454,1,1.018749275870927,2.072627837116713,2,58,0.14047810896013277
"('musical_expertise', 'personality_artistic')",0.6734533392797077,1,1.1410589672138445,2.321464795366097,2,58,0.1573437250192577
"('musical_expertise', 'personality_fault')",0.6772219270510587,1,1.1531259582424223,2.3460148805621692,2,58,0.15900767523810258
"('musical_expertise', 'personality_imagination')",0.46381374092241184,1,0.6300196821169797,1.2817641808586828,2,58,0.08687512781375517
"('musical_expertise', 'personality_lazy')",0.5885654133683701,1,0.9018439309153874,1.834785928414064,2,58,0.1243577129258421
"('musical_expertise', 'personality_nervous')",0.4687653002550013,1,0.639500434108542,1.301052607324275,2,58,0.08818245449642308
"('musical_expertise', 'personality_outgoing')",0.5790986847502034,1,0.8783973419049349,1.787084247323833,2,58,0.12112459898528202
"('musical_expertise', 'personality_reserved')",0.4642440160496313,1,0.6308399294520087,1.283432959919604,2,58,0.08698823395010649
"('musical_expertise', 'personality_stress')",0.8764678360932439,1,2.168501801954516,4.41177952811436,2,58,0.2990206124610844
"('musical_expertise', 'personality_thorough')",0.7711776506349851,1,1.5129543000071177,3.078079437945515,2,58,0.20862538412741824
"('musical_expertise', 'personality_trusting')",0.5112631190488459,1,0.7248413765130975,1.4746772832507846,2,58,0.09995034919810873
"('concentration', 'personality_artistic')",0.7668984268596613,1,1.4934655271455914,3.0384298655720654,2,58,0.20593802422210666
"('concentration', 'personality_fault')",0.6076075583144951,1,0.9507451142105775,1.9342745427042782,2,58,0.1311008301166233
"('concentration', 'personality_imagination')",0.3960284108774511,1,0.5086371883846144,1.0348135901618016,2,58,0.070137365555411
"('concentration', 'personality_lazy')",0.628654038201739,1,1.0077349356512404,2.0502193518421787,2,58,0.13895931162485878
"('concentration', 'personality_nervous')",0.42989868538552223,1,0.5674209727721283,1.1544081859846749,2,58,0.07824322149451686
"('concentration', 'personality_outgoing')",0.570160189436089,1,0.8567544681811535,1.743052193885795,2,58,0.11814020425225945
"('concentration', 'personality_reserved')",0.4150393178156392,1,0.5411986124286872,1.1010592459756048,2,58,0.0746273488939021
"('concentration', 'personality_stress')",0.8903800410125232,1,2.2971831853284224,4.673579583944031,2,58,0.3167648384673177
"('concentration', 'personality_thorough')",0.7633176952846346,1,1.477440207287325,3.0058266286190403,2,58,0.2037282492730683
"('concentration', 'personality_trusting')",0.44396894229470385,1,0.592910851025527,1.206266903810555,2,58,0.08175809014715983
"('personality_artistic', 'personality_fault')",0.599977679891404,1,0.9308624801507117,1.8938236665135169,2,58,0.12835915961924949
"('personality_artistic', 'personality_imagination')",0.4685799712148907,1,0.6391439406483969,1.3003273275260487,2,58,0.0881332966434322
"('personality_artistic', 'personality_lazy')",0.6372716549876651,1,1.0320406362789738,2.099668880705498,2,58,0.14231089080337264
"('personality_artistic', 'personality_nervous')",0.45301274630289895,1,0.6096495088586724,1.2403214145745405,2,58,0.08406622921005218
"('personality_artistic', 'personality_outgoing')",0.4530934977102693,1,0.6098002533072581,1.2406281015561456,2,58,0.08408701577213876
"('personality_artistic', 'personality_reserved')",0.47134492837391984,1,0.6444759324455108,1.311175172906384,2,58,0.08886853949698825
"('personality_artistic', 'personality_stress')",0.7258177933748582,1,1.3232645033295056,2.6921588171186492,2,58,0.1824685420491529
"('personality_artistic', 'personality_thorough')",0.8795291393751771,1,2.1954835306831266,4.466673390010499,2,58,0.3027411964340449
"('personality_artistic', 'personality_trusting')",0.5349978334162055,1,0.7759116851273709,1.5785789456039614,2,58,0.10699257297982405
"('personality_fault', 'personality_imagination')",0.4468831465949234,1,0.5982736381769705,1.2171774018083192,2,58,0.0824975794558972
"('personality_fault', 'personality_lazy')",0.7313077082024033,1,1.3444208356812861,2.735201010523996,2,58,0.1853858462688486
"('personality_fault', 'personality_nervous')",0.5091105153080295,1,0.7203371215974098,1.4655134542843855,2,58,0.09932924523483057
"('personality_fault', 'personality_outgoing')",0.46586864035133607,1,0.633943159201279,1.289746427340533,2,58,0.08741614674196946
"('personality_fault', 'personality_reserved')",0.4684095811611324,1,0.6388162968410828,1.2996607418490993,2,58,0.08808811694755006
"('personality_fault', 'personality_stress')",0.7592939782352912,1,1.4597289175546873,2.9697933150250533,2,58,0.20128599135169806
"('personality_fault', 'personality_thorough')",0.8816186054567643,1,2.214310126278137,4.504975774152072,2,58,0.30533724691475156
"('personality_fault', 'personality_trusting')",0.4625295837558514,1,0.6275756945944949,1.2767919303819033,2,58,0.08653811972588456
"('personality_imagination', 'personality_lazy')",0.2902301910945143,1,0.3448488206498379,0.7015889799427737,2,58,0.047552141973899106
"('personality_imagination', 'personality_nervous')",0.05530484237630551,1,0.056948831672700526,0.11586141616170106,2,58,0.007852829317626405
"('personality_imagination', 'personality_outgoing')",0.1929060448032912,1,0.21510906043977018,0.4376356746878083,2,58,0.029661973506618117
"('personality_imagination', 'personality_reserved')",0.0626811688506825,1,0.0648040852694633,0.13184279416890807,2,58,0.008936011604781547
"('personality_imagination', 'personality_stress')",0.6701048634663473,1,1.1304574304663886,2.2998961516385146,2,58,0.15588185027772153
"('personality_imagination', 'personality_thorough')",0.6774198771702029,1,1.1537638160627195,2.3473125913000152,2,58,0.15909563118811212
"('personality_imagination', 'personality_trusting')",0.1632452553270956,1,0.17877304544546355,0.3637106786649086,2,58,0.024651501553954916
"('personality_lazy', 'personality_nervous')",0.28912220728060806,1,0.3432704851087786,0.6983778834971702,2,58,0.04733450099258598
"('personality_lazy', 'personality_outgoing')",0.3247163598960631,1,0.3952923039609941,0.8042153770240914,2,58,0.05450793110941064
"('personality_lazy', 'personality_reserved')",0.30390868324976017,1,0.36454668320949074,0.7416639417020673,2,58,0.05026833382647345
"('personality_lazy', 'personality_stress')",0.6988423124648144,1,1.2253000040395365,2.492851732356298,2,58,0.16895995074859355
"('personality_lazy', 'personality_thorough')",0.8684138754668875,1,2.1006928037195753,4.273823290326033,2,58,0.2896702452332089
"('personality_lazy', 'personality_trusting')",0.3682086181748246,1,0.4628508307483264,0.941662034970733,2,58,0.06382376014801634
"('personality_nervous', 'personality_outgoing')",0.09714927936658772,1,0.10237834245592746,0.20828697258274895,2,58,0.01411722814171965
"('personality_nervous', 'personality_reserved')",0.04205497839456966,1,0.04299673437660479,0.08747611476619595,2,58,0.005928936667486615
"('personality_nervous', 'personality_stress')",0.607926086803873,1,0.9515838394144387,1.9359809146707545,2,58,0.13121648421657336
