,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.9806196222919169,1,4.023088645053927,8.086814549148803,2,198,0.17109997098725363
"('song_activity', 'song_familiarity')",0.9831277873881044,1,4.167414737702612,8.376924573765857,2,198,0.1772380883502039
"('song_activity', 'song_like_dislike')",0.9806767187646115,1,4.026159034105643,8.09298634128306,2,198,0.1712305531155679
"('song_activity', 'song_positivity')",0.9935179228039345,1,5.169143082923605,10.390499732341388,2,198,0.21984109960006515
"('song_activity', 'song_tension')",0.9884273509795332,1,4.561058239957642,9.168187775268391,2,198,0.19397955187673122
"('song_activity', 'age')",0.9997684036277494,1,8.73456833404151,17.557364631053137,2,198,0.37147687272017693
"('song_activity', 'musical_expertise')",0.7937088630971261,1,1.6039037287607996,3.24020955305212,2,99,0.13326668323036944
"('song_activity', 'concentration')",0.5806689204495753,1,0.8788504965189995,1.7802356211538708,2,78,0.09303166794417003
"('song_activity', 'personality_artistic')",0.7017467526504275,1,1.2287725669732108,2.4890521228431703,2,78,0.1300730464195463
"('song_activity', 'personality_fault')",0.5937598442829636,1,0.9112946741825739,1.8459558784723933,2,78,0.09646608139113798
"('song_activity', 'personality_imagination')",0.35608178175426347,1,0.4426770461192273,0.8967047857286912,2,78,0.046860056544531604
"('song_activity', 'personality_lazy')",0.7452314080015274,1,1.3916538218912502,2.818991075113045,2,78,0.14731501747364945
"('song_activity', 'personality_nervous')",0.4071894294009271,1,0.5264012690352728,1.0663000065073476,2,78,0.05572277453360978
"('song_activity', 'personality_outgoing')",0.30242087337906864,1,0.3618072835589233,0.7328916769526908,2,78,0.03829950053752771
"('song_activity', 'personality_reserved')",0.29963634491311025,1,0.3577867741864472,0.7247475682238289,2,78,0.03787390517814848
"('song_activity', 'personality_stress')",0.7616821419797033,1,1.4608452282496718,2.9591480264544634,2,78,0.15463934847923325
"('song_activity', 'personality_thorough')",0.5573153558349956,1,0.8234708000374784,1.6680562359733537,2,78,0.08716939039602688
"('song_activity', 'personality_trusting')",0.39204665547295997,1,0.5008458464748744,1.0145338941414122,2,78,0.05301757769384154
"('song_engagement', 'song_familiarity')",0.32224197496225715,1,0.3897300614249029,0.7833967901369261,2,198,0.01657502682289707
"('song_engagement', 'song_like_dislike')",0.28649396680563843,1,0.33814054460233123,0.6796966502612517,2,198,0.014380950179211748
"('song_engagement', 'song_positivity')",0.7694983831217382,1,1.4784278514406515,2.97178931754232,2,198,0.06287680556063224
"('song_engagement', 'song_tension')",0.7684241281305366,1,1.4737088426649336,2.9623036332355737,2,198,0.06267610845056319
"('song_engagement', 'age')",0.9939875649947193,1,5.248311384447467,10.549636015202484,2,198,0.22320808832165254
"('song_engagement', 'musical_expertise')",0.7190094655035792,1,1.2858517458199397,2.5976802945857367,2,99,0.10684007663215529
"('song_engagement', 'concentration')",0.47168711726239626,1,0.6433147742864604,1.3031247991956505,2,78,0.06809877982893399
