,D2,F,T2,adjustedP,df1,df2,p
"('activity', 'engagement')",0.0875448737903197,2.4099383458419426,4.836554465703553,1,2,289,0.9999948718026943
"('activity', 'familiarity')",0.11965851112995146,3.2939636770635388,6.61072295050814,1,2,289,0.9999999995617094
"('activity', 'like_dislike')",0.09966714286709366,2.743640592722809,5.506268317575188,1,2,289,0.9999998437006467
"('activity', 'positivity')",0.07871426721236345,2.1668490992890046,4.348693694074819,1,2,289,0.9999397655400655
"('activity', 'tension')",0.10469017008093844,2.881914661446073,5.783773368992119,1,2,289,0.9999999640079572
"('activity', 'age')",0.06742464087573777,1.856067870864071,3.7249805020801423,1,2,289,0.998811389203683
"('activity', 'musical_expertise')",0.0705423485497262,1.4072855358546463,2.828643927067839,1,2,200,0.9508866368419385
"('activity', 'concentration')",0.021408402378279012,0.41425668794991893,0.8329918265803775,0.03277601337858418,2,185,0.0001916725928572174
"('activity', 'artistic')",0.020287150557739973,0.3925602503864328,0.7893643953716378,0.01526064972768503,2,185,8.924356565897678e-05
"('activity', 'fault')",0.11349073269942361,2.167605743221505,4.3587724184345475,1,2,184,0.999940216882724
"('activity', 'imagination')",0.028378370997618963,0.5420100698497108,1.0899115535021358,0.971272131855476,2,184,0.005679953987458924
"('activity', 'lazy')",0.05063857385445399,0.9798661066244312,1.9703253603475048,1,2,185,0.4832686404687799
"('activity', 'nervous')",0.08795575702507728,1.6799028391321769,3.3780654917331816,1,2,184,0.9943117159152544
"('activity', 'outgoing')",0.10205027067754892,1.9490996978917874,3.919385262065007,1,2,184,0.9995007794416965
"('activity', 'reserved')",0.06585575258490031,1.2743214307271074,2.562419309353967,1,2,185,0.8800898587792093
"('activity', 'stress')",0.1129787735564138,2.1861609154735167,4.395956003006207,1,2,185,0.9999503025964762
"('activity', 'thorough')",0.08935506730979172,1.7066288363792752,3.4318079861974553,1,2,184,0.9954811117952178
"('activity', 'trusting')",0.06580464755819443,1.2733325386684335,2.560430834511661,1,2,185,0.8793484441415501
"('engagement', 'familiarity')",0.0695775846432501,1.9153341821525698,3.8439232721401053,1,2,289,0.9993140857038547
"('engagement', 'like_dislike')",0.026718146113904138,0.735498060159695,1.4760860722928135,1,2,289,0.09832016770621553
"('engagement', 'positivity')",0.01509410092310348,0.41551093782737974,0.8338973838750182,0.03418735585771846,2,289,0.0001999260576474764
"('engagement', 'tension')",0.029041495995765696,0.7994553169205659,1.604443196587987,1,2,289,0.17448617311689565
"('engagement', 'age')",0.01796423567850507,0.4945201076999944,0.9924624998823417,0.33283521692259505,2,289,0.0019464047773251171
"('engagement', 'musical_expertise')",0.08960657456490932,1.7876075704197285,3.5930912165436544,1,2,200,0.9977872187514235
"('engagement', 'concentration')",0.01623586856777435,0.31416716763976826,0.6317307370918583,0.0004931738780026369,2,185,2.884057766097292e-06
"('engagement', 'artistic')",0.004268890713586363,0.08260385324337373,0.16610072111640556,1.5039591143847467e-15,2,185,8.795082540261677e-18
"('engagement', 'fault')",0.09864683011164815,1.884095999863878,3.7886713040741022,1,2,184,0.9990823388649506
"('engagement', 'imagination')",0.004793072413981219,0.09154484287046125,0.1840847383808188,1.45822065820176e-14,2,184,8.527606188314386e-17
"('engagement', 'lazy')",0.03863748549591098,0.7476427474330665,1.5033681191627066,1,2,185,0.11083862715307642
"('engagement', 'nervous')",0.05571140230937498,1.0640547711376114,2.139675355004979,1,2,184,0.6301986701361137
"('engagement', 'outgoing')",0.08983693953937923,1.7158323104208006,3.450314972041827,1,2,184,0.9958281650750818
"('engagement', 'reserved')",0.05158995128889077,0.9982754422682689,2.0073430514799786,1,2,185,0.5167405984044502
"('engagement', 'stress')",0.11402840734661897,2.206471530427759,4.436796807130413,1,2,185,0.9999594311431512
"('engagement', 'thorough')",0.0456706711391568,0.8722827556343697,1.754046845569113,1,2,184,0.2882873653206502
"('engagement', 'trusting')",0.05795386182455822,1.1214183304825702,2.2549601023757626,1,2,185,0.7171663886536137
"('familiarity', 'like_dislike')",0.07719654054373083,2.1250690665025602,4.264844493326938,1,2,289,0.9999089070844902
"('familiarity', 'positivity')",0.06844680948395265,1.884206164041042,3.781451817106589,1,2,289,0.9990832757943399
"('familiarity', 'tension')",0.09256436487355833,2.5481150718382746,5.113864158014531,1,2,289,0.9999987774031663
"('familiarity', 'age')",0.06989377431720228,1.9240382625495747,3.8613916687846137,1,2,289,0.9993678326749205
"('familiarity', 'musical_expertise')",0.11511788735771554,2.296545849794879,4.616057158087707,1,2,200,0.9999836414006867
"('familiarity', 'concentration')",0.04434687372828787,0.8581205036697661,1.7255179857575837,1,2,185,0.2643523230419422
"('familiarity', 'artistic')",0.04288590231391902,0.8298504268741244,1.6686722097144555,1,2,185,0.21897750043168224
"('familiarity', 'fault')",0.16217053222086264,3.0973610678347065,6.228389103798051,1,2,184,0.9999999963969158
"('familiarity', 'imagination')",0.057855905607448944,1.1050135133599726,2.2220380431695097,1,2,184,0.6936499560077792
"('familiarity', 'lazy')",0.09530515803754262,1.844173068852315,3.7082831438543846,1,2,185,0.9986744187390186
"('familiarity', 'nervous')",0.10647445217316416,2.0335989428155856,4.089302221966123,1,2,184,0.9997774703731683
"('familiarity', 'outgoing')",0.14168109539784596,2.7060249659648603,5.441463246777165,1,2,184,0.9999997673497834
"('familiarity', 'reserved')",0.09211500611761554,1.7824430179566486,3.5841556901614773,1,2,185,0.9976824814218128
"('familiarity', 'stress')",0.1381202628178289,2.672653549885573,5.374200651661801,1,2,185,0.9999996691434963
"('familiarity', 'thorough')",0.1049047588908812,2.003618731278983,4.029015927028389,1,2,184,0.99970299617287
"('familiarity', 'trusting')",0.09665667186857571,1.870325120437926,3.7608699719076135,1,2,185,0.99895764630147
"('like_dislike', 'positivity')",0.029763117935196735,0.8193201508936088,1.6443103374335402,1,2,289,0.20301911208838755
"('like_dislike', 'tension')",0.0359226046970704,0.9888787177800978,1.984600886894314,1,2,289,0.49971563993980456
"('like_dislike', 'age')",0.02787555925801806,0.7673593696483844,1.5400291847614633,1,2,289,0.13313300805315995
"('like_dislike', 'musical_expertise')",0.07417286067288192,1.479712486526135,2.9742220979175316,1,2,200,0.971219102661069
"('like_dislike', 'concentration')",0.0064093058865413895,0.12402129695163147,0.2493833646811184,1.0183433554795108e-11,2,185,5.955224301049771e-14
"('like_dislike', 'artistic')",0.00285802732829578,0.055303376411282766,0.11120462716214696,1.7220101014448282e-19,2,185,1.0070234511373264e-21
"('like_dislike', 'fault')",0.09879472116584989,1.8869206313631546,3.794351269588952,1,2,184,0.9991060722754516
"('like_dislike', 'imagination')",0.004990223899184186,0.09531031941154952,0.19165662055583327,3.5298159022359393e-14,2,184,2.0642198258689702e-16
"('like_dislike', 'lazy')",0.04520603050359903,0.8747453518896989,1.7589474102863134,1,2,185,0.29251988681445906
"('like_dislike', 'nervous')",0.06259679074790428,1.1955616102307636,2.4041184553553396,1,2,184,0.8087748286157219
"('like_dislike', 'outgoing')",0.08508793978673479,1.6251292292656827,3.2679229066755573,1,2,184,0.9909680932853878
"('like_dislike', 'reserved')",0.048304320422675594,0.9346978554678036,1.8795005526163402,1,2,185,0.4000709332763066
"('like_dislike', 'stress')",0.10633324895028615,2.0575687410374983,4.137381468464591,1,2,185,0.9998236002311581
"('like_dislike', 'thorough')",0.0473337752588873,0.9040470588136503,1.8179207160926663,1,2,184,0.34420083035682786
"('like_dislike', 'trusting')",0.051535257958706664,0.9972171158497591,2.0052149572762725,1,2,185,0.5148302928809098
"('positivity', 'tension')",0.02540282698236523,0.6992899091295471,1.4034191947928627,1,2,289,0.06648114549443837
"('positivity', 'age')",0.011100025973073016,0.3055619029895513,0.6132384212247051,0.0003126809686152696,2,289,1.8285436761126878e-06
"('positivity', 'musical_expertise')",0.07642665436265514,1.5246745742029086,3.064595894147846,1,2,200,0.9796538556085935
"('positivity', 'concentration')",0.006382317631834864,0.12349906905200934,0.24833326317485122,9.315125442146962e-12,2,185,5.4474417790333116e-14
"('positivity', 'artistic')",0.0022524407713690494,0.04358516050209407,0.0876415119285351,6.979025469148106e-22,2,185,4.081301443946261e-24
"('positivity', 'fault')",0.09753478516938076,1.862856600432355,3.745961642173757,1,2,184,0.9988833410337471
"('positivity', 'imagination')",0.004225123856178902,0.08069736196638452,0.16227186917153408,8.945670399975957e-16,2,184,5.231386198816349e-18
"('positivity', 'lazy')",0.040496063535274296,0.7836065886052722,1.5756845997900608,1,2,185,0.15330314571547163
"('positivity', 'nervous')",0.060658991742990984,1.1585507975207643,2.329694538492841,1,2,184,0.7660907503906327
"('positivity', 'outgoing')",0.08510839273311921,1.6255198684217986,3.268708431065573,1,2,184,0.9909974102930001
"('positivity', 'reserved')",0.048108339806297425,0.9309055929902647,1.8718750302290728,1,2,185,0.393098267679366
"('positivity', 'stress')",0.10659778972487464,2.062687655712791,4.147674637433288,1,2,185,0.9998321660414239
"('positivity', 'thorough')",0.04716033582791516,0.9007344684572909,1.8112595289630304,1,2,184,0.3382529969390325
"('positivity', 'trusting')",0.05155794233098137,0.9976560627996858,2.0060975965485572,1,2,185,0.5156228374555452
"('tension', 'age')",0.028523846044574887,0.7852054309696666,1.5758448095585003,1,2,289,0.15537372639773112
"('tension', 'musical_expertise')",0.0779467008484537,1.5549987621165435,3.1255475118542524,1,2,200,0.9839942511790454
"('tension', 'concentration')",0.012717125245953484,0.24607881015811173,0.49481793177739225,7.444513456033915e-06,2,185,4.353516640955506e-08
"('tension', 'artistic')",0.0037054524907583503,0.07170121567477418,0.14417757962711347,6.336152784079388e-17,2,185,3.705352505309584e-19
"('tension', 'fault')",0.09787142742922328,1.8692862681108458,3.758890865222896,1,2,184,0.9989476037530395
"('tension', 'imagination')",0.005052273228818731,0.0964954248389248,0.19403971299131617,4.624806971736518e-14,2,184,2.704565480547671e-16
"('tension', 'lazy')",0.037957693660311834,0.7344886451635567,1.4769177081126654,1,2,185,0.0973215466677817
"('tension', 'nervous')",0.05566584210155354,1.063184598165888,2.137925550659666,1,2,184,0.6287823736246266
"('tension', 'outgoing')",0.09512934824225379,1.8169141805168303,3.653577428213191,1,2,184,0.9983009061769809
"('tension', 'reserved')",0.0503414222778952,0.9741161666826617,1.9587633189510818,1,2,185,0.4727275741210923
"('tension', 'stress')",0.11418407300558481,2.2094836907548725,4.442853691680068,1,2,185,0.9999606364169416
"('tension', 'thorough')",0.04414886454485025,0.8432171514618453,1.695599706743928,1,2,184,0.23999801508745902
"('tension', 'trusting')",0.058492766850582675,1.1318462459923682,2.2759286676170865,1,2,185,0.7315165409926563
"('age', 'musical_expertise')",0.0619979308086378,1.2368285586410601,2.4860254028685307,1,2,200,0.8493234277909121
"('age', 'concentration')",0.007577183407936717,0.14661995076034604,0.29482498206945257,3.3243331974560563e-10,2,185,1.9440545014362902e-12
"('age', 'artistic')",0.0033819415500971188,0.0654412169870693,0.13158990659021502,8.034828559264398e-18,2,185,4.6987301516166067e-20
"('age', 'fault')",0.09731279373257926,1.858616695535174,3.7374357464565997,1,2,184,0.998838912253453
"('age', 'imagination')",0.005910550671196418,0.11288801539786114,0.2270030744413512,1.3781436761533965e-12,2,184,8.059319743587113e-15
"('age', 'lazy')",0.03870084686980065,0.7488688021581086,1.505833483258467,1,2,185,0.11215405675778857
"('age', 'nervous')",0.05721450404659989,1.092763123623836,2.197404107287061,1,2,184,0.6753596230811156
"('age', 'outgoing')",0.08516216352322167,1.626546858649735,3.270773574458706,1,2,184,0.9910740606374544
"('age', 'reserved')",0.047960630712734036,0.9280473937281967,1.8661277322534549,1,2,185,0.38785104375338925
"('age', 'stress')",0.10613900213996584,2.0538100280393827,4.129823407733245,1,2,185,0.9998170401753897
"('age', 'thorough')",0.04672128004134481,0.8923487631056031,1.794396969288441,1,2,184,0.3233042334885867
"('age', 'trusting')",0.052669889335693186,1.0191724503940773,2.0493629813329557,1,2,185,0.5540107226165626
"('musical_expertise', 'concentration')",0.04517573731275414,0.8741591728425612,1.7577687151212582,1,2,185,0.2915106259405049
"('musical_expertise', 'artistic')",0.04326451683138448,0.837176690331043,1.6834039394764757,1,2,185,0.2303971768235843
"('musical_expertise', 'fault')",0.13712395546980208,2.61898629376901,5.266439829861596,1,2,184,0.9999994180397995
"('musical_expertise', 'imagination')",0.04129052408404649,0.7886245424306754,1.5858210907573362,1,2,184,0.15985221876654596
"('musical_expertise', 'lazy')",0.07572204903100872,1.4652361573787227,2.946312705648026,1,2,185,0.9678955396188225
"('musical_expertise', 'nervous')",0.08809717965667935,1.6826039275928009,3.38349702831161,1,2,184,0.9944417667036707
"('musical_expertise', 'outgoing')",0.1077296153621446,2.057571815951579,4.13750854294611,1,2,184,0.9998236055025909
"('musical_expertise', 'reserved')",0.08874051613224739,1.7171459901748323,3.452855720783987,1,2,185,0.9958755903064294
"('musical_expertise', 'stress')",0.13089220248243438,2.532789197472209,5.092959899781955,1,2,185,0.9999985653233734
"('musical_expertise', 'thorough')",0.10453701514967222,1.996595043736234,4.014892207513079,1,2,184,0.9996823132345443
"('musical_expertise', 'trusting')",0.09168752920160249,1.774171257725615,3.5675227452644798,1,2,185,0.9975047878354084
"('concentration', 'artistic')",0.008816437065599876,0.17059974648177864,0.34304381454714405,7.102224959493114e-09,2,185,4.153347929528137e-11
"('concentration', 'fault')",0.10313225417023986,1.9697649414499485,3.960940371393918,1,2,184,0.9995896132437969
"('concentration', 'imagination')",0.010994180131129568,0.20998232567027245,0.4222470679239174,3.996070182544699e-07,2,184,2.3368831476869586e-09
"('concentration', 'lazy')",0.04439205345679102,0.8589947400729077,1.727275909768225,1,2,185,0.26580862742581635
"('concentration', 'nervous')",0.06759352756521937,1.2909963225192458,2.5960252137615267,1,2,184,0.8920477762011454
"('concentration', 'outgoing')",0.08844709474369472,1.6892870984051982,3.396936013097409,1,2,184,0.9947515804666356
