,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.6479525496242151,1,1.0590630063099624,2.1471414374503346,2,73,0.11972322028336421
"('song_activity', 'song_familiarity')",0.6676897760481716,1,1.118481086553019,2.2676054905458467,2,73,0.1264402181082057
"('song_activity', 'song_like_dislike')",0.38591614490034665,1,0.4908955605251248,0.9952403144892941,2,73,0.055493957374311335
"('song_activity', 'song_positivity')",0.3659966006612396,1,0.45855754220315464,0.9296783047406423,2,73,0.05183826203983038
"('song_activity', 'song_tension')",0.047242914199004865,1,0.04842739986498235,0.09818157780845736,2,73,0.005474541389172971
"('song_activity', 'age')",0.8276689731532809,1,1.8013792212294808,3.652111297835112,2,73,0.20363936803776117
"('song_activity', 'musical_expertise')",0.27973593981564504,1,0.32961680224158035,0.6682642018048478,2,73,0.03726198043812798
"('song_activity', 'concentration')",0.04214129674283717,1,0.04308040686459082,0.08734109884875946,2,73,0.004870083281368833
"('song_activity', 'personality_artistic')",0.45703182457205893,1,0.6158422254189431,1.2485568405753913,2,73,0.06961872331895065
"('song_activity', 'personality_fault')",0.10953876728734446,1,0.11620028570068439,0.2355841408726204,2,73,0.013136019593777805
"('song_activity', 'personality_imagination')",0.7848662771130195,1,1.5692940629181327,3.181582483724433,2,73,0.1774029851526463
"('song_activity', 'personality_lazy')",0.02138007373482954,1,0.02161833788489868,0.04382895899952061,2,73,0.0024438744563195646
"('song_activity', 'personality_nervous')",0.061789633416042114,1,0.0638368425752858,0.1294226397416753,2,73,0.007216522832257757
"('song_activity', 'personality_outgoing')",0.5270001142385463,1,0.7563908697149789,1.5335047769563956,2,73,0.08550723627930013
"('song_activity', 'personality_reserved')",0.01902534256288503,1,0.019213708450500345,0.038953819872247275,2,73,0.0021720398461414474
"('song_activity', 'personality_stress')",0.09591821765405044,1,0.10097486861903494,0.20471617199475578,2,73,0.011414841578577726
"('song_activity', 'personality_thorough')",0.049779230473996294,1,0.051096664397464076,0.1035932374085573,2,73,0.005776292034519703
"('song_activity', 'personality_trusting')",0.46022950611460267,1,0.6218490426374774,1.2607350453472144,2,73,0.07029777215435679
"('song_engagement', 'song_familiarity')",0.7593380510343617,1,1.452518978813594,2.944832998142629,2,73,0.1642019866902713
"('song_engagement', 'song_like_dislike')",0.4598978894046687,1,0.6212244066901548,1.259468660138944,2,73,0.07022715933276577
"('song_engagement', 'song_positivity')",0.4740805594986669,1,0.6482973445093763,1.314356260101201,2,73,0.07328765646932596
"('song_engagement', 'song_tension')",0.4959156130661091,1,0.6914799492649529,1.401904554674151,2,73,0.07816929285050292
"('song_engagement', 'age')",0.8885089842857748,1,2.261081103726733,4.584109634952828,2,73,0.25560699358504396
"('song_engagement', 'musical_expertise')",0.6675481129529035,1,1.1180418218301291,2.266714926450125,2,73,0.12639056082920727
"('song_engagement', 'concentration')",0.5344481661185735,1,0.7725950079958452,1.5663570025121245,2,73,0.08733905516575309
"('song_engagement', 'personality_artistic')",0.5826978038743346,1,0.8844913653566677,1.7932153708600935,2,73,0.09998853131721724
"('song_engagement', 'personality_fault')",0.544404855391573,1,0.7946780205974974,1.6111280417593097,2,73,0.0898354594084428
"('song_engagement', 'personality_imagination')",0.8065910957935959,1,1.6804861969171065,3.407013111557969,2,73,0.1899728514148244
"('song_engagement', 'personality_lazy')",0.45223476145955593,1,0.606898803146205,1.230424970762169,2,73,0.06860770196472843
"('song_engagement', 'personality_nervous')",0.465418069360039,1,0.6316739376862276,1.2806540106515298,2,73,0.07140844079935163
"('song_engagement', 'personality_outgoing')",0.7014127749954642,1,1.228928792397073,2.4915268667776274,2,73,0.138925929475495
"('song_engagement', 'personality_reserved')",0.43947286804668323,1,0.5834923964024298,1.182970885856981,2,73,0.06596169282841566
"('song_engagement', 'personality_stress')",0.5087778595316348,1,0.71782618205239,1.4553188348459414,2,73,0.08114763862677296
"('song_engagement', 'personality_thorough')",0.4579132129646194,1,0.6174942701457052,1.251906191528279,2,73,0.0698054809656267
"('song_engagement', 'personality_trusting')",0.7487440092286106,1,1.4077520137530757,2.8540725758281535,2,73,0.1591412441400878
"('song_familiarity', 'song_like_dislike')",0.7019162230429927,1,1.2306731739195935,2.495063421097258,2,73,0.13912312546103567
"('song_familiarity', 'song_positivity')",0.7033341444023438,1,1.2356024011297113,2.505056922838319,2,73,0.13968035666596643
"('song_familiarity', 'song_tension')",0.65741450938324,1,1.087108724173486,2.2040012490092593,2,73,0.12289368666522649
"('song_familiarity', 'age')",0.956234484648079,1,3.266935368222708,6.62337581502686,2,73,0.3693151591651074
"('song_familiarity', 'musical_expertise')",0.7675087501691132,1,1.4884511829096077,3.017681850282492,2,73,0.16826399165184844
"('song_familiarity', 'concentration')",0.6590108759357308,1,1.0919187933409642,2.213753170061133,2,73,0.12343744748690101
"('song_familiarity', 'personality_artistic')",0.797125044814865,1,1.6305357451906515,3.305743702578307,2,73,0.1843261345531558
"('song_familiarity', 'personality_fault')",0.676905128009939,1,1.1474769765560813,2.3263916784972607,2,73,0.12971809799397785
"('song_familiarity', 'personality_imagination')",0.9245375359094378,1,2.6777924198475027,5.428949015581238,2,73,0.3027146919913236
"('song_familiarity', 'personality_lazy')",0.6505943653034184,1,1.0668148075870894,2.1628574181217703,2,73,0.12059953321882211
"('song_familiarity', 'personality_nervous')",0.665499334429317,1,1.1117104443647354,2.253878709123025,2,73,0.1256748216385546
"('song_familiarity', 'personality_outgoing')",0.8140982025211262,1,1.7219193833721096,3.4910146402612634,2,73,0.19465672242102425
"('song_familiarity', 'personality_reserved')",0.6517588645585788,1,1.0702509044381618,2.1698237514636705,2,73,0.12098797146826042
"('song_familiarity', 'personality_stress')",0.6698092395861106,1,1.1250761253819819,2.2809762541990866,2,73,0.1271857632568823
"('song_familiarity', 'personality_thorough')",0.717867752952734,1,1.2875690781352247,2.6104140214248392,2,73,0.14555500046095948
"('song_familiarity', 'personality_trusting')",0.812139059285383,1,1.7109429455885956,3.4687610403713993,2,73,0.19341587605886013
"('song_like_dislike', 'song_positivity')",0.3421085336540781,1,0.4211261943473325,0.8537900926493864,2,73,0.04760678432967966
"('song_like_dislike', 'song_tension')",0.3903073732944784,1,0.49816934552436365,1.0099871662685729,2,73,0.056316232308445735
"('song_like_dislike', 'age')",0.866063570210825,1,2.0667859548537666,4.190196182443253,2,73,0.23364263379727604
"('song_like_dislike', 'musical_expertise')",0.5449994787027016,1,0.7960124886367846,1.6138335386060838,2,73,0.08998631616585646
"('song_like_dislike', 'concentration')",0.3484590821937117,1,0.43093918411351584,0.873684921216443,2,73,0.04871610712578846
"('song_like_dislike', 'personality_artistic')",0.5501755841719689,1,0.8077050832952579,1.6375390729821666,2,73,0.09130812145755295
"('song_like_dislike', 'personality_fault')",0.32617135332002,1,0.39692209423750635,0.8047187663993279,2,73,0.044870598860123935
"('song_like_dislike', 'personality_imagination')",0.7971531891651927,1,1.630680680361032,3.306037543745654,2,73,0.18434251894693304
"('song_like_dislike', 'personality_lazy')",0.297942653801043,1,0.3554598781689915,0.7206583831371334,2,73,0.04018344616171837
"('song_like_dislike', 'personality_nervous')",0.33018541346500696,1,0.4029624708209674,0.81696500933566,2,73,0.045553441459655286
"('song_like_dislike', 'personality_outgoing')",0.641168738320328,1,1.0394280576330621,2.107333596297167,2,73,0.11750356076198436
"('song_like_dislike', 'personality_reserved')",0.29570427564839397,1,0.3522457774095095,0.7141421240631152,2,73,0.03982010376287362
"('song_like_dislike', 'personality_stress')",0.3610659178095454,1,0.45071407251004414,0.9137764757737881,2,73,0.05095158632341005
"('song_like_dislike', 'personality_thorough')",0.31959234369660955,1,0.38710147317123017,0.7848084661553707,2,73,0.0437604133733002
"('song_like_dislike', 'personality_trusting')",0.6149515970962518,1,0.9669731363825251,1.9604386874604618,2,73,0.10931279548568973
"('song_positivity', 'song_tension')",0.2909787054959021,1,0.3454946306131634,0.7004548675444956,2,73,0.03905691117636219
