,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.6271783831691763,1,0.9935917078409354,2.00127691508387,2,141,0.05746438200839028
"('song_activity', 'song_familiarity')",0.5104183985965584,1,0.7178340166614561,1.4458500761124364,2,141,0.04151593438887155
"('song_activity', 'song_like_dislike')",0.5812936779933361,1,0.8759830144547804,1.764391319894735,2,141,0.050662482565272546
"('song_activity', 'song_positivity')",0.46520759762193015,1,0.6286630469917351,1.2662433003237785,2,141,0.03635873085675456
"('song_activity', 'song_tension')",0.45566680947472044,1,0.6108246988122136,1.2303135777494232,2,141,0.03532704988951484
"('song_activity', 'age')",0.953091186493537,1,3.1269095576610613,6.298172442381144,2,141,0.18084483184504183
"('song_activity', 'musical_expertise')",0.5442221738240295,1,0.7928893177090829,1.6040059760551562,2,87,0.07361577656550947
"('song_activity', 'concentration')",0.4217643590896427,1,0.5530718416078744,1.1255497127458496,2,57,0.07816317449623955
"('song_activity', 'personality_artistic')",0.3622897894279169,1,0.4534406701990129,0.9227915393523771,2,57,0.06408274578835951
"('song_activity', 'personality_fault')",0.9966824958358876,1,6.3204140491560405,12.862597012317556,2,57,0.8932359036331635
"('song_activity', 'personality_imagination')",0.9183091851529165,1,2.618182280159619,5.3282306052371196,2,57,0.37001601425257774
"('song_activity', 'personality_lazy')",0.4268809288665052,1,0.5621337054420908,1.1439914005488165,2,57,0.07944384726033447
"('song_activity', 'personality_nervous')",0.39001502465344584,1,0.49863274370094846,1.0147613731457898,2,57,0.07046953980179096
"('song_activity', 'personality_outgoing')",0.8770410831830939,1,2.1748963986822982,4.4261049517043265,2,57,0.30736839942391153
"('song_activity', 'personality_reserved')",0.6188294883764126,1,0.9810147868947516,1.9964511452594946,2,57,0.13864244064302045
"('song_activity', 'personality_stress')",0.7363990045954802,1,1.3649992049018158,2.777893118747555,2,57,0.1929092443574691
"('song_activity', 'personality_thorough')",0.3385028575134377,1,0.4162602056790537,0.8471260326100041,2,57,0.05882819670902806
"('song_activity', 'personality_trusting')",0.5466954920091968,1,0.8022756774198305,1.632701378608778,2,57,0.11338204018116514
"('song_engagement', 'song_familiarity')",0.28073821567632257,1,0.33030123532222316,0.6652875945497261,2,141,0.01910297380162723
"('song_engagement', 'song_like_dislike')",0.24149843389416586,1,0.2769529875600526,0.5578343862911698,2,141,0.016017577592408464
"('song_engagement', 'song_positivity')",0.3121786451570546,1,0.375221121529373,0.7557645284705101,2,141,0.021700915672931895
"('song_engagement', 'song_tension')",0.26093727885051293,1,0.3030218501530413,0.6103418825777569,2,141,0.01752527040701834
"('song_engagement', 'age')",0.969124789587492,1,3.5650106589142974,7.180588844905393,2,141,0.20618241149877897
"('song_engagement', 'musical_expertise')",0.4118824117073077,1,0.5340804220464848,1.080438554944613,2,87,0.04958667513769258
"('song_engagement', 'concentration')",0.35213694526931094,1,0.4373984345881509,0.890144182670623,2,57,0.06181556824101549
"('song_engagement', 'personality_artistic')",0.37354958769507973,1,0.4715441011742892,0.9596336094073254,2,57,0.06664122287550872
"('song_engagement', 'personality_fault')",0.9968407779021986,1,6.380193820663107,12.984254091174043,2,57,0.9016843118870862
"('song_engagement', 'personality_imagination')",0.8683690415217227,1,2.101631262884293,4.277003973589087,2,57,0.2970141648325755
"('song_engagement', 'personality_lazy')",0.46363695573649794,1,0.6298019580130336,1.281702230342314,2,57,0.08900709932932736
"('song_engagement', 'personality_nervous')",0.4885960949260285,1,0.6785472706875235,1.3809032175395215,2,57,0.09589605677357788
"('song_engagement', 'personality_outgoing')",0.8980998019255912,1,2.377756368132056,4.838942784268746,2,57,0.33603769335199624
"('song_engagement', 'personality_reserved')",0.6652617380900869,1,1.1156906509686073,2.270528342322078,2,57,0.15767557932792206
"('song_engagement', 'personality_stress')",0.8482952468822893,1,1.9496097239429289,3.9676268066206974,2,57,0.27552963934865954
"('song_engagement', 'personality_thorough')",0.31064511704831677,1,0.3744374458160415,0.7620130476256284,2,57,0.052917572751779746
"('song_engagement', 'personality_trusting')",0.44631003909482314,1,0.5973238517242475,1.2156064350879423,2,57,0.08441711354777377
"('song_familiarity', 'song_like_dislike')",0.24600372610947727,1,0.2829340808501395,0.5698814110740398,2,141,0.016363494156462956
"('song_familiarity', 'song_positivity')",0.1397160352431302,1,0.15065349161148742,0.303443912182003,2,141,0.00871304553423897
"('song_familiarity', 'song_tension')",0.18299966093943912,1,0.20240576805413896,0.40768253991046427,2,141,0.011706138733221705
"('song_familiarity', 'age')",0.9419045190958026,1,2.90387935022266,5.848948478462662,2,141,0.1679458785440924
"('song_familiarity', 'musical_expertise')",0.10533976942114871,1,0.11145380103799139,0.22546975842168374,2,87,0.01034792363995489
"('song_familiarity', 'concentration')",0.017449448034721673,1,0.01760892183769315,0.035835700581972024,2,57,0.0024885903181925016
"('song_familiarity', 'personality_artistic')",0.07353620063370953,1,0.07648274799526512,0.15564910118334657,2,57,0.010808965359954624
"('song_familiarity', 'personality_fault')",0.9956355670097294,1,5.986920019034012,12.183907407156937,2,57,0.8461046810525651
"('song_familiarity', 'personality_imagination')",0.8287457349636702,1,1.8203796961103897,3.7046323640141265,2,57,0.2572661363898699
"('song_familiarity', 'personality_lazy')",0.1709242653937761,1,0.18806153147245655,0.38272171317201686,2,57,0.026577896748056728
"('song_familiarity', 'personality_nervous')",0.16416567565849202,1,0.17989021230750854,0.36609236188896477,2,57,0.025423080686733664
"('song_familiarity', 'personality_outgoing')",0.8249192070289215,1,1.7968791736746033,3.6568067394079646,2,57,0.25394491245888645
"('song_familiarity', 'personality_reserved')",0.5148292860040848,1,0.7325097285386091,1.490721552815415,2,57,0.10352233005662603
"('song_familiarity', 'personality_stress')",0.638842618901805,1,1.03685705608469,2.110095061505685,2,57,0.14653437927122812
"('song_familiarity', 'personality_thorough')",0.009164659489900072,1,0.009208400646203478,0.01873990306946673,2,57,0.0013013821576018563
"('song_familiarity', 'personality_trusting')",0.2856045238529006,1,0.3383107998705888,0.6884921541226018,2,57,0.047811955147402906
