,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.8330431364051745,1,1.8109882757605738,3.6454958797777786,2,154,0.09773614295169249
"('song_activity', 'song_familiarity')",0.6079402862452851,1,0.9420573490117276,1.8963492090495815,2,154,0.05084132954589896
"('song_activity', 'song_like_dislike')",0.7793515448734569,1,1.5261111159986667,3.072041856880433,2,154,0.08236177792524384
"('song_activity', 'song_positivity')",0.7333727065215647,1,1.3333156538247875,2.683947095361585,2,154,0.0719569149541955
"('song_activity', 'song_tension')",0.6429536836756669,1,1.0368080647057882,2.0870811692129503,2,154,0.05595487424290184
"('song_activity', 'age')",0.9479316123697462,1,3.0126388066380785,6.064402792583145,2,154,0.1625873016454156
"('song_activity', 'musical_expertise')",0.6506464766775235,1,1.062377694325166,2.145185728925816,2,104,0.08482441721916567
"('song_activity', 'concentration')",0.6068361573712399,1,0.945245556777967,1.9156976617366799,2,75,0.10673172686818645
"('song_activity', 'personality_artistic')",0.46786426541237125,1,0.6361929658514863,1.2893510774590125,2,75,0.07183527431557356
"('song_activity', 'personality_fault')",0.9991550971141514,1,7.787994232455058,15.783668311108919,2,75,0.8793758059046398
"('song_activity', 'personality_imagination')",0.914309883033596,1,2.5392974121737195,5.146309422005405,2,75,0.2867229535117297
"('song_activity', 'personality_lazy')",0.5590596794648891,1,0.8278512800959559,1.677778594327804,2,75,0.09347623596969194
"('song_activity', 'personality_nervous')",0.49554419661153426,1,0.6905562928473731,1.3995274201706762,2,75,0.07797367055236624
"('song_activity', 'personality_outgoing')",0.8528765875317716,1,1.966300653041321,3.9850359901637438,2,75,0.22202343373769431
"('song_activity', 'personality_reserved')",0.5654085734529204,1,0.8426775183541673,1.7078264371977792,2,75,0.09515033007244769
"('song_activity', 'personality_stress')",0.6960590326727226,1,1.2100341653178877,2.4523359083775857,2,75,0.1366301434667512
"('song_activity', 'personality_thorough')",0.47336280207442566,1,0.6467573554866632,1.3107615737863043,2,75,0.07302814482523695
"('song_activity', 'personality_trusting')",0.7018119941450427,1,1.2297651199302657,2.4923239763920053,2,75,0.13885805011326888
"('song_engagement', 'song_familiarity')",0.5258741953900066,1,0.7499107724314245,1.5095606458035167,2,154,0.04047148589329783
"('song_engagement', 'song_like_dislike')",0.4562532612056506,1,0.6116885320326956,1.2313210709749067,2,154,0.0330118524834461
"('song_engagement', 'song_positivity')",0.4577994656038371,1,0.6145588690501724,1.2370990221139835,2,154,0.033166759984954816
"('song_engagement', 'song_tension')",0.47915098824174274,1,0.6550658171368582,1.318638982548221,2,154,0.03535285523566781
"('song_engagement', 'age')",0.9699306742017075,1,3.585211961843271,7.216985117996195,2,154,0.19348815975502096
"('song_engagement', 'musical_expertise')",0.6597417273025856,1,1.0893028791997417,2.199553890691786,2,104,0.08697422997192206
"('song_engagement', 'concentration')",0.31078636790949515,1,0.3740572655567031,0.7580893915282516,2,75,0.04223640895657402
"('song_engagement', 'personality_artistic')",0.32293822634714936,1,0.3920277371402702,0.7945095472709477,2,75,0.04426553191938137
"('song_engagement', 'personality_fault')",0.9987662754409026,1,7.333101319423112,14.861752007364174,2,75,0.8280118975531469
"('song_engagement', 'personality_imagination')",0.8735847817140611,1,2.1262782553787405,4.3092572642342475,2,75,0.24008719043590807
"('song_engagement', 'personality_lazy')",0.4541162981501716,1,0.6102616942373629,1.2367970336543888,2,75,0.06890726330360165
"('song_engagement', 'personality_nervous')",0.44415497537119064,1,0.5918882691543121,1.1995602254860727,2,75,0.06683264113422405
"('song_engagement', 'personality_outgoing')",0.8394008608302406,1,1.8741733239578853,3.7983246032213143,2,75,0.21162094217947322
"('song_engagement', 'personality_reserved')",0.47203500230285667,1,0.6441959052584033,1.305570367990364,2,75,0.07273892050232028
"('song_engagement', 'personality_stress')",0.7686039933158777,1,1.4925626067099662,3.0249268829321982,2,75,0.16853164062050818
"('song_engagement', 'personality_thorough')",0.3288986107143022,1,0.4009635161110774,0.8126193926517835,2,75,0.045274509019170794
"('song_engagement', 'personality_trusting')",0.5435872253961019,1,0.7926180556516178,1.6063725927872787,2,75,0.08949790159814838
"('song_familiarity', 'song_like_dislike')",0.4374256210270246,1,0.577385932727026,1.1622703840608966,2,154,0.031160596020758324
"('song_familiarity', 'song_positivity')",0.24739835564307772,1,0.28474441102605846,0.5731868014160917,2,154,0.015367200789331693
"('song_familiarity', 'song_tension')",0.126950436124321,1,0.13588270650387194,0.27353012348182015,2,154,0.007333372504550165
"('song_familiarity', 'age')",0.8667483374350098,1,2.0421260063370417,4.110773129639499,2,154,0.11021027687045788
"('song_familiarity', 'musical_expertise')",0.32494159405793366,1,0.39444456613502754,0.7964746046957286,2,104,0.031494006911471896
"('song_familiarity', 'concentration')",0.4529127162144264,1,0.6080235137303527,1.2322609878268482,2,75,0.06865454075035297
"('song_familiarity', 'personality_artistic')",0.43772763085900157,1,0.580211744058177,1.1758958012912388,2,75,0.06551419464336902
"('song_familiarity', 'personality_fault')",0.9992823578923112,1,7.98557858413934,16.184105930522396,2,75,0.9016859018433906
"('song_familiarity', 'personality_imagination')",0.8581273349789956,1,2.0045666103477995,4.062588330304874,2,75,0.2263442069741287
"('song_familiarity', 'personality_lazy')",0.5789613103578651,1,0.8750847476711671,1.7735050886135653,2,75,0.09880956922275579
"('song_familiarity', 'personality_nervous')",0.5202645570104043,1,0.7417612905334456,1.5033028821477832,2,75,0.08375544629109079
"('song_familiarity', 'personality_outgoing')",0.8640102820330703,1,2.0492063216115683,4.153058145132778,2,75,0.23138466808596908
"('song_familiarity', 'personality_reserved')",0.5989843608893916,1,0.9249784669938336,1.8746230264408361,2,75,0.10444328290170374
"('song_familiarity', 'personality_stress')",0.7543947136233579,1,1.4306446699230742,2.8994398643774306,2,75,0.161540221015314
"('song_familiarity', 'personality_thorough')",0.4391518051579553,1,0.5827871741509776,1.181115339612648,2,75,0.06580499749270467
"('song_familiarity', 'personality_trusting')",0.6073035725880419,1,0.9464651242158781,1.9181693184108464,2,75,0.10686943345431858
"('song_like_dislike', 'song_positivity')",0.359255876040173,1,0.44641416675926804,0.8986259200998253,2,154,0.024092259128359387
"('song_like_dislike', 'song_tension')",0.37065311259946776,1,0.4644679231243761,0.9349678971984194,2,154,0.02506659150617347
"('song_like_dislike', 'age')",0.9683427833499474,1,3.531373328206833,7.1086086476890795,2,154,0.1905825747416642
"('song_like_dislike', 'musical_expertise')",0.5246629323661717,1,0.7490751730413092,1.5125556378718743,2,104,0.059809110588429616
"('song_like_dislike', 'concentration')",0.15642652354761102,1,0.17049468015561264,0.345535885115375,2,75,0.019251285027856606
"('song_like_dislike', 'personality_artistic')",0.1483926731724457,1,0.16097425965258413,0.3262411662292372,2,75,0.018176293547057503
"('song_like_dislike', 'personality_fault')",0.9985449805088655,1,7.136290916927735,14.462882924973544,2,75,0.8057891915342403
"('song_like_dislike', 'personality_imagination')",0.8617849287832746,1,2.0320913583139557,4.118371819516284,2,75,0.22945214423019297
"('song_like_dislike', 'personality_lazy')",0.31714742461864165,1,0.3834232096970218,0.7770710383192976,2,75,0.04329395784921801
"('song_like_dislike', 'personality_nervous')",0.27557172410338504,1,0.32376215327053975,0.6561579639616273,2,75,0.03655737227786209
"('song_like_dislike', 'personality_outgoing')",0.801530778685807,1,1.6524956492708567,3.3490578491889362,2,75,0.1865903658833836
"('song_like_dislike', 'personality_reserved')",0.33256492725550046,1,0.4065006055537656,0.8238412272556317,2,75,0.04589972551852805
"('song_like_dislike', 'personality_stress')",0.7014488174809252,1,1.2285080195077949,2.489776252869131,2,75,0.13871610551699443
"('song_like_dislike', 'personality_thorough')",0.17287032422392845,1,0.19027489404158496,0.3856237852576122,2,75,0.021484753750066966
"('song_like_dislike', 'personality_trusting')",0.44418004521380505,1,0.5919340843107811,1.1996530775365164,2,75,0.06683781431989162
"('song_positivity', 'song_tension')",0.23585159212345688,1,0.2694636582108135,0.5424268444503388,2,154,0.01454252298133593
"('song_positivity', 'age')",0.9422658659082194,1,2.905378925504477,5.848490044846674,2,154,0.1567986572815792
"('song_positivity', 'musical_expertise')",0.7360059604344664,1,1.349030759182509,2.7240044175800664,2,104,0.10771192634185776
"('song_positivity', 'concentration')",0.2709438709367086,1,0.3173397549035837,0.643141903271263,2,75,0.03583219175368465
"('song_positivity', 'personality_artistic')",0.2653417765091829,1,0.309621100555119,0.6274987637917079,2,75,0.034960645411252295
"('song_positivity', 'personality_fault')",0.9987061898429623,1,7.276284454905921,14.746603161942668,2,75,0.821596461879663
