,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.8374996931998928,1,1.8322356744497852,3.6812040947849565,2,219,0.06756178150150961
"('song_activity', 'song_familiarity')",0.849274341133195,1,1.9087390942855886,3.834909595824927,2,219,0.07038276539956463
"('song_activity', 'song_like_dislike')",0.8659081292981656,1,2.027777194705537,4.0740729026047315,2,219,0.074772171327567
"('song_activity', 'song_positivity')",0.8109244700668687,1,1.6783410088336097,3.3720093328163845,2,219,0.06188707604871341
"('song_activity', 'song_tension')",0.9819562650232614,1,4.08947143024118,8.21628963153479,2,219,0.15079499819781114
"('song_activity', 'age')",0.8152309363480494,1,1.701736432487338,3.4190138369608616,2,219,0.06274975792041264
"('song_activity', 'musical_expertise')",0.9619323516522251,1,3.356072636524101,6.7662754768631075,2,124,0.21799010288219547
"('song_activity', 'concentration')",0.5860201662516428,1,0.8900055515939891,1.7983617331177513,2,97,0.0749317388799063
"('song_activity', 'personality_artistic')",0.5327700238053223,1,0.7669343081813149,1.5496816948818322,2,97,0.06457007062007633
"('song_activity', 'personality_fault')",0.8817203739853645,1,2.1823796194389637,4.409756756804504,2,97,0.18373986486685434
"('song_activity', 'personality_imagination')",0.08264790811094247,1,0.08634068142500562,0.17446158308557835,2,97,0.007269232628565764
"('song_activity', 'personality_lazy')",0.34908031072324364,1,0.43127522594588213,0.8714427245916794,2,97,0.036310113524653305
"('song_activity', 'personality_nervous')",0.04937226011091135,1,0.050659172600896946,0.1023628642244928,2,97,0.004265119342687199
"('song_activity', 'personality_outgoing')",0.07308984796341031,1,0.07595806014196978,0.1534822658538771,2,97,0.006395094410578212
"('song_activity', 'personality_reserved')",0.1709266564244774,1,0.18780935188959424,0.379491061550108,2,97,0.01581212756458783
"('song_activity', 'personality_stress')",0.14206503256662747,1,0.15346927946253133,0.3101028739655272,2,97,0.012920953081896967
"('song_activity', 'personality_thorough')",0.07805481026308976,1,0.08133763240451647,0.16435232939469308,2,97,0.006848013724778878
"('song_activity', 'personality_trusting')",0.38477164626223376,1,0.48820253877501485,0.9864711092773496,2,97,0.04110296288655623
"('song_engagement', 'song_familiarity')",0.7620915120142177,1,1.4453247163205254,2.903848745118864,2,219,0.053294843040375975
"('song_engagement', 'song_like_dislike')",0.8533541212377819,1,1.9366615853950582,3.8910095779626737,2,219,0.07141237816697367
"('song_engagement', 'song_positivity')",0.7194045930248321,1,1.278244695582198,2.5681628587039596,2,219,0.0471339413551818
"('song_engagement', 'song_tension')",0.9319924953619033,1,2.7214046965735577,5.467662404074727,2,219,0.10034896277319688
"('song_engagement', 'age')",0.7194410929590109,1,1.2783763030065354,2.56842727544692,2,219,0.04713879424183336
"('song_engagement', 'musical_expertise')",0.9702856612620062,1,3.6177400963167923,7.293830839348372,2,124,0.234986432419392
"('song_engagement', 'concentration')",0.4549844182585519,1,0.6107544894614093,1.234101854994188,2,97,0.051420910624757836
"('song_engagement', 'personality_artistic')",0.5491191388692356,1,0.8031292869859709,1.6228179407139205,2,97,0.06761741419641336
"('song_engagement', 'personality_fault')",0.8776465845974155,1,2.1470060845157977,4.338280335722643,2,97,0.1807616806551101
"('song_engagement', 'personality_imagination')",0.0290565880907142,1,0.029496056162269194,0.05960027843097693,2,97,0.002483344934624039
