,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.13235258830178523,1,0.14220447828633787,0.2877160374630557,2,86,0.012945767105263881
"('song_activity', 'song_familiarity')",0.12115387344165861,1,0.1293395826331928,0.261687062536925,2,86,0.011774594825978929
"('song_activity', 'song_like_dislike')",0.43163919932514694,1,0.5687270640278084,1.150680338846961,2,86,0.05177479785509582
"('song_activity', 'song_positivity')",0.42584695040806614,1,0.5584545989698377,1.1298965141947879,2,86,0.05083963082069571
"('song_activity', 'song_tension')",0.9210371109861999,1,2.61522070260001,5.291260491306997,2,86,0.23807997155021374
"('song_activity', 'age')",0.07030442167602195,1,0.0729599087025809,0.14761655946801253,2,86,0.00664199888405112
"('song_activity', 'musical_expertise')",0.2922644940283989,1,0.34707807691224174,0.7022277370084891,2,86,0.031596697974598346
"('song_activity', 'concentration')",0.09327971945064438,1,0.09803285690728784,0.19834554769614052,2,86,0.008924546888248992
"('song_activity', 'personality_artistic')",0.0705291065426229,1,0.07320202444200645,0.14810642154545492,2,86,0.006664040200983563
"('song_activity', 'personality_fault')",0.36537898763490173,1,0.4571401697768762,0.9249115062927495,2,86,0.04161634178971421
"('song_activity', 'personality_imagination')",0.8431071444337894,1,1.8926620140837722,3.829339423843911,2,86,0.1723009144196704
"('song_activity', 'personality_lazy')",0.4082979251604,1,0.527967002406866,1.068212307195287,2,86,0.04806415335711857
"('song_activity', 'personality_nervous')",0.12932153900194085,1,0.13870576375684263,0.2806372429498909,2,86,0.012627257139808033
"('song_activity', 'personality_outgoing')",0.5409300574175324,1,0.7856436209219949,1.5895580237258966,2,86,0.07152207487947665
"('song_activity', 'personality_reserved')",0.34555872623825123,1,0.4260704676050376,0.8620495507357737,2,86,0.038787871595290124
"('song_activity', 'personality_stress')",0.07057831141531047,1,0.07325505458322762,0.1482137150869954,2,86,0.006668867867918398
"('song_activity', 'personality_thorough')",0.15959300907025573,1,0.17422098231634964,0.3524936153842423,2,86,0.015860430621434562
"('song_activity', 'personality_trusting')",0.07781251458387152,1,0.08108308097228908,0.16405181499044535,2,86,0.007381502292290009
"('song_engagement', 'song_familiarity')",0.1915334456400999,1,0.21314248170517758,0.43124176531047553,2,86,0.019403699248044654
"('song_engagement', 'song_like_dislike')",0.6417364609774798,1,1.038836525641574,2.1018320402515567,2,86,0.09457181576460492
"('song_engagement', 'song_positivity')",0.5549258983459142,1,0.8171824602400402,1.6533691637414765,2,86,0.07439325357582983
"('song_engagement', 'song_tension')",0.9487061430987971,1,3.075168875267883,6.221853305774554,2,86,0.27995194348530605
"('song_engagement', 'age')",0.12973609725504368,1,0.1391835484551898,0.2816039236186398,2,86,0.012670752882739608
"('song_engagement', 'musical_expertise')",0.3626670028594713,1,0.4528307614614909,0.9161924708639467,2,86,0.04122402927547586
"('song_engagement', 'concentration')",0.13092476330385233,1,0.14055479649567754,0.284378309188929,2,86,0.01279558620718639
"('song_engagement', 'personality_artistic')",0.1329689360482619,1,0.14291745328751979,0.2891585682794005,2,86,0.013010673699123683
"('song_engagement', 'personality_fault')",0.3625663633957077,1,0.45267120424761614,0.9158696458033164,2,86,0.041209503779825664
"('song_engagement', 'personality_imagination')",0.8528784401945184,1,1.9598465414567723,3.965270909459051,2,86,0.17841714405553868
"('song_engagement', 'personality_lazy')",0.4203803598678115,1,0.5488564896770797,1.1104770837652542,2,86,0.04996585462846695
"('song_engagement', 'personality_nervous')",0.16567777990101154,1,0.1815176453108118,0.3672566312102471,2,86,0.016524691697528814
"('song_engagement', 'personality_outgoing')",0.5611956102566226,1,0.8316415161821881,1.682623532740706,2,86,0.07570955228206412
"('song_engagement', 'personality_reserved')",0.3426774973187157,1,0.42163425124824966,0.8530739501999469,2,86,0.03838401494832926
"('song_engagement', 'personality_stress')",0.1306740523552159,1,0.14026541610181972,0.283792818624612,2,86,0.01276924209180509
"('song_engagement', 'personality_thorough')",0.20857416076894802,1,0.23455651335744665,0.47456782935111297,2,86,0.021353153090115803
"('song_engagement', 'personality_trusting')",0.14216948481889996,1,0.15362249903432232,0.3108176143252568,2,86,0.013985221271459987
"('song_familiarity', 'song_like_dislike')",0.2255475090845694,1,0.25636013085865916,0.5186821252256593,2,86,0.023338073379718743
"('song_familiarity', 'song_positivity')",0.2203080963507247,1,0.24957793458818908,0.504960007190057,2,86,0.02272064744181753
"('song_familiarity', 'song_tension')",0.884929255379032,1,2.2174930615695945,4.486555729222203,2,86,0.20187232553123155
"('song_familiarity', 'age')",0.03164268288106508,1,0.032166155513812196,0.06508036115585258,2,86,0.002928287230976178
"('song_familiarity', 'musical_expertise')",0.2567187889319972,1,0.29770666591666894,0.6023367426686093,2,86,0.02710210823938636
"('song_familiarity', 'concentration')",0.0795475612591698,1,0.0829698923111547,0.1678693170016386,2,86,0.007553270582985761
"('song_familiarity', 'personality_artistic')",0.03345831610548809,1,0.034044322377350084,0.0688803731820804,2,86,0.00309926856077106
"('song_familiarity', 'personality_fault')",0.3580606007206317,1,0.44555390272573486,0.9014695241195101,2,86,0.040561571105478464
"('song_familiarity', 'personality_imagination')",0.7846147460404161,1,1.5630657699117367,3.1624819065656067,2,86,0.14229569751483268
"('song_familiarity', 'personality_lazy')",0.4347481509255555,1,0.5742850120048012,1.1619254894050628,2,86,0.05228077277909535
"('song_familiarity', 'personality_nervous')",0.08272653702627687,1,0.08643639513937461,0.1748829390029207,2,86,0.007868848114893804
"('song_familiarity', 'personality_outgoing')",0.4842924243382671,1,0.6673408424310568,1.3502012393372544,2,86,0.060752229676954324
"('song_familiarity', 'personality_reserved')",0.3454331415773722,1,0.42587668920855837,0.8616574874684786,2,86,0.038770230730381494
"('song_familiarity', 'personality_stress')",0.035708672054321336,1,0.036377201160014534,0.07360038374235499,2,86,0.0033116451734426663
"('song_familiarity', 'personality_thorough')",0.10981997344765952,1,0.11648906252397845,0.23568717301363082,2,86,0.01060473124277712
"('song_familiarity', 'personality_trusting')",0.05883101278444908,1,0.06067534080882553,0.1227617360550656,2,86,0.005523657486805277
"('song_like_dislike', 'song_positivity')",0.2517113000769798,1,0.29094629482268447,0.588658782548222,2,86,0.02648666918442455
"('song_like_dislike', 'song_tension')",0.9288376118754086,1,2.725693831876888,5.514775892402076,2,86,0.24813703459240888
