,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_engagement')",0.5109958665555442,1,0.7215116324557882,1.460202113303381,2,84,0.07049810424938631
"('song_activity', 'song_familiarity')",0.3427972526913234,1,0.42186734593726677,0.8537791524920875,2,84,0.041220192156943176
"('song_activity', 'song_like_dislike')",0.33311210548369324,1,0.40709358361034903,0.823879871592373,2,84,0.03977666416677938
"('song_activity', 'song_positivity')",0.4897709021209034,1,0.6783146816688884,1.3727797129013217,2,84,0.06627737792586848
"('song_activity', 'song_tension')",0.5564847555241903,1,0.8209432532504415,1.6614327744354171,2,84,0.08021345803323046
"('song_activity', 'age')",0.7188790732259986,1,1.2883349591315958,2.607344560147277,2,84,0.12588178509035133
"('song_activity', 'musical_expertise')",0.3583360555036926,1,0.4460424248157572,0.9027049073652228,2,84,0.043582312397766027
"('song_activity', 'concentration')",0.34202749145787537,1,0.4206850208889601,0.8513863517990858,2,84,0.04110466848308572
"('song_activity', 'personality_artistic')",0.5351752939559644,1,0.7731245182131815,1.5646567630504864,2,84,0.07554114227824213
"('song_activity', 'personality_fault')",0.3655539868384885,1,0.45747662202132144,0.92584554456696,2,84,0.04469953517054691
"('song_activity', 'personality_imagination')",0.34227986086227374,1,0.42107249494271065,0.8521705254792953,2,84,0.04114252814467186
"('song_activity', 'personality_lazy')",0.3757230764500844,1,0.473813903988843,0.9589090914059917,2,84,0.04629583293691524
"('song_activity', 'personality_nervous')",0.9136828501434946,1,2.522578880547425,5.105219163012645,2,84,0.24647839466265267
"('song_activity', 'personality_outgoing')",0.33574525839002656,1,0.41108835306192026,0.8319645240538862,2,84,0.04016698867518763
"('song_activity', 'personality_reserved')",0.8192468601482648,1,1.7459369355581336,3.5334437981533653,2,84,0.17059356850130009
"('song_activity', 'personality_stress')",0.4478330975024136,1,0.5981238654494323,1.2104887753143272,2,84,0.05844202189364399
"('song_activity', 'personality_thorough')",0.33557705026732554,1,0.4108326793146857,0.8314470890892448,2,84,0.04014200707589583
"('song_activity', 'personality_trusting')",0.3297050797049301,1,0.40194866580735017,0.8134675379434467,2,84,0.039273959934006585
"('song_engagement', 'song_familiarity')",0.4662555320907826,1,0.6325541761569755,1.2801691660319743,2,84,0.061806169503208525
"('song_engagement', 'song_like_dislike')",0.5528701677576432,1,0.8126685684924151,1.6446863886156018,2,84,0.07940494773005402
"('song_engagement', 'song_positivity')",0.5770634656480506,1,0.8694093478148566,1.7595189181967335,2,84,0.08494902657220633
"('song_engagement', 'song_tension')",0.5340806938792485,1,0.7707291904724815,1.5598090759562124,2,84,0.07530709745182602
"('song_engagement', 'age')",0.7768526286345923,1,1.5270275226319845,3.0904128434218734,2,84,0.14920417168573974
"('song_engagement', 'musical_expertise')",0.46857614582806717,1,0.6369773080500606,1.2891207424822655,2,84,0.06223834883238463
"('song_engagement', 'concentration')",0.41583271669557986,1,0.5410228467208528,1.094927189792202,2,84,0.05286274445722617
"('song_engagement', 'personality_artistic')",0.6271335898104011,1,0.9982126519365637,2.020192271776379,2,84,0.09753425507466425
"('song_engagement', 'personality_fault')",0.4647963709291872,1,0.6297830592006963,1.2745609531442663,2,84,0.06153540672783084
"('song_engagement', 'personality_imagination')",0.42594503494417213,1,0.5587136999917954,1.1307301071262525,2,84,0.054591298179791324
