_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,song,musicpref_rock,musicpref_world,musicpref_dance,musicpref_traditional_irish,musicpref_classical,musicpref_pop,musicpref_jazz,musicpref_hip_hop,song_inspired,song_spirituality,song_thrills,song_chills,song_goosebumps,song_overwhelmed,song_shivers,musicpref_none,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,musicpref_folk,musicpref_hiphop
541102ae08ad6ee3090e6643,dublin,female,,irish,,,False,21.0,True,,,,,,,1.0,4.0,4.0,3.0,2.0,2.0,3.0,,,,,,,,,,dust_dublin,0,0,0,0.0,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
541102b008ad6ee3090e666c,dublin,male,,irish,,,False,21.0,True,,,,,,,5.0,4.0,2.0,2.0,3.0,4.0,3.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411036308ad6ee3090e68ff,dublin,male,,irish,,,False,31.0,True,,,,,,,1.0,4.0,4.0,1.0,4.0,4.0,4.0,,,,,,,,,,dust_dublin,1,1,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5411041308ad6ee3090e6b77,dublin,male,,other,,,False,31.0,True,,,,,,,2.0,4.0,2.0,4.0,1.0,4.0,1.0,,,,,,,,,,dust_dublin,1,1,0,0.0,1,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5411051908ad6ee3090e6f34,dublin,male,,other,,,False,21.0,True,,,,,,,1.0,5.0,5.0,1.0,2.0,4.0,2.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5411059908ad6ee3090e70e7,dublin,female,,irish,,,False,41.0,True,,,,,,,2.0,4.0,2.0,5.0,2.0,4.0,2.0,,,,,,,,,,dust_dublin,1,0,1,1.0,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5411059a08ad6ee3090e70fb,dublin,female,,irish,,,False,31.0,True,,,,,,,5.0,3.0,5.0,5.0,1.0,4.0,1.0,,,,,,,,,,dust_dublin,1,0,1,0.0,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411059b08ad6ee3090e7107,dublin,male,,irish,,,False,21.0,True,,,,,,,2.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411061e08ad6ee3090e72f0,dublin,male,,irish,,,False,21.0,True,,,,,,,1.0,3.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411061f08ad6ee3090e72ff,dublin,male,,irish,,,False,21.0,True,,,,,,,1.0,2.0,4.0,4.0,3.0,1.0,2.0,,,,,,,,,,dust_dublin,1,0,1,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5411062008ad6ee3090e730c,dublin,female,,other,,,False,31.0,True,,,,,,,2.0,3.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,,,dust_dublin,1,1,1,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411076d08ad6ee3090e7777,dublin,female,,other,,,False,41.0,True,,,,,,,4.0,4.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,dust_dublin,0,0,1,0.0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
