,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_inspired,control_wonder,control_spirituality,control_thrills,control_chills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,answers.musicpref.hip_hop,answers.musicpref.traditional_irish,answers.musicpref.classical,answers.musicpref.hiphop,answers.musicpref.folk,answers.musicpref.jazz,answers.musicpref.dance,answers.musicpref.world,answers.musicpref.rock,answers.musicpref.none,answers.musicpref.pop
570eb7aa83a73509d0e0489f,570eb7aa83a73509d0e0489f,taipei_city,en,taiwanese,34.0,female,False,5.0,1.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,2.0,3,3.0,True,2.0,2,2,2,3,3,-1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,1
570eb75c83a73509d0e03009,570eb75c83a73509d0e03009,taipei_city,en,taiwanese,7.0,male,False,5.0,4.0,5.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,1,4.0,True,3.0,5,5,4,3,3,-1,5.0,3.0,5.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0,0,0,0
570eb79983a73509d0e04371,570eb79983a73509d0e04371,taipei_city,zh_TW,taiwanese,12.0,female,False,4.0,3.0,5.0,1.0,5.0,1.0,4.0,4.0,3.0,4.0,3,5.0,True,4.0,5,4,5,3,5,-1,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
570eb7a183a73509d0e045d2,570eb7a183a73509d0e045d2,taipei_city,en,taiwanese,7.0,male,False,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2,3.0,True,4.0,3,3,5,3,4,-1,4.0,3.0,3.0,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
570eb78a83a73509d0e03e96,570eb78a83a73509d0e03e96,taipei_city,zh_TW,thai,9.0,male,False,4.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,2.0,5.0,5,5.0,True,5.0,5,5,5,5,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
570eb76d83a73509d0e0359e,570eb76d83a73509d0e0359e,taipei_city,en,taiwanese,1.0,female,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,True,5.0,5,5,5,4,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,0,0,0,0,1
570eb73e83a73509d0e025f2,570eb73e83a73509d0e025f2,taipei_city,zh_TW,taiwanese,16.0,female,True,2.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,1,5.0,True,5.0,4,5,5,5,5,-1,5.0,5.0,5.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,1,0,1
570eb7b483a73509d0e04b6c,570eb7b483a73509d0e04b6c,taipei_city,zh_TW,taiwanese,10.0,female,False,5.0,1.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,2.0,2,4.0,True,3.0,5,4,5,5,4,-1,2.0,4.0,5.0,4.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,1,1,0,0,1
570eb7af83a73509d0e049f2,570eb7af83a73509d0e049f2,taipei_city,en,taiwanese,10.0,male,False,5.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,2,5.0,True,3.0,3,4,4,5,3,-1,3.0,5.0,5.0,5.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,1,0,1
570eb75e83a73509d0e03083,570eb75e83a73509d0e03083,taipei_city,en,taiwanese,10.0,female,False,4.0,2.0,4.0,3.0,2.0,5.0,1.0,5.0,5.0,1.0,2,5.0,True,1.0,5,5,5,5,5,-1,1.0,5.0,5.0,5.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
