,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_chillsshiversthrills,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,metadata.language,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.concentration,song,answers.musicpref.world,answers.musicpref.hiphop,answers.musicpref.rock,answers.musicpref.pop,answers.musicpref.traditional_irish,answers.musicpref.dance,answers.musicpref.hip_hop,answers.musicpref.folk,answers.musicpref.none,answers.musicpref.classical,answers.musicpref.jazz
5410f69408ad6ee3090e3881,5410f69408ad6ee3090e3881,dublin,male,1970-01-01,,irish,,,True,41.0,False,,,,,,,,1.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
5410f69408ad6ee3090e3886,5410f69408ad6ee3090e3886,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,3.0,4.0,3.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,0,0,0,0,0,0
5410f69608ad6ee3090e38a4,5410f69608ad6ee3090e38a4,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,3.0,4.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,1,0
5410f71408ad6ee3090e3aca,5410f71408ad6ee3090e3aca,dublin,male,1986-01-01,True,irish,,3,False,25.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,,into_dust,1,0,1,1,0,1,0,0,0,0,0
5410f7b408ad6ee3090e3d12,5410f7b408ad6ee3090e3d12,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,1.0,3.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,1,0,0,0,0
5410f7b408ad6ee3090e3d19,5410f7b408ad6ee3090e3d19,dublin,female,1950-01-01,,other,,,False,61.0,False,,,,,,,,1.0,4.0,4.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,0,1,0,0,0,0,1
5410f7b508ad6ee3090e3d2b,5410f7b508ad6ee3090e3d2b,dublin,male,1930-01-01,,irish,,,True,81.0,False,,,,,,,,1.0,3.0,4.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,1,1
5410f7b608ad6ee3090e3d34,5410f7b608ad6ee3090e3d34,dublin,male,1980-01-01,,other,,,False,31.0,False,,,,,,,,3.0,3.0,2.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0,0
5410f7b608ad6ee3090e3d37,5410f7b608ad6ee3090e3d37,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,1.0,5.0,5.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,into_dust,1,0,1,1,0,0,1,0,0,1,1
5410f8d808ad6ee3090e410f,5410f8d808ad6ee3090e410f,dublin,male,1954-01-01,False,irish,,1,False,57.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,1,0,0
