,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_activity,control_engagement,control_familiarity,control_chills,control_positivity,control_power,control_like_dislike,song_activity,song_engagement,song_familiarity,song_chills,song_positivity,song_power,song_like_dislike,control_chillsshiversthrills,control_tension,song_chillsshiversthrills,song_tension,control_inspired,control_wonder,control_spirituality,control_thrills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,metadata.language,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.concentration,song,answers.musicpref.pop,answers.musicpref.hiphop,answers.musicpref.jazz,answers.musicpref.traditional_irish,answers.musicpref.folk,answers.musicpref.none,answers.musicpref.classical,answers.musicpref.dance,answers.musicpref.world,answers.musicpref.rock,answers.musicpref.hip_hop
5410edc808ad6ee3090e20f0,5410edc808ad6ee3090e20f0,bergen,male,1992-01-01,False,norwegian,False,3,False,20.0,False,,,,,,,,3.0,4.0,1.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,1,1,0,1
5410edd008ad6ee3090e2111,5410edd008ad6ee3090e2111,bergen,male,1994-01-01,True,other,True,3,True,18.0,False,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,1,0,0,0,0
5410edd908ad6ee3090e2134,5410edd908ad6ee3090e2134,bergen,female,1980-01-01,False,norwegian,False,2,False,32.0,True,,,,,,,,3.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,0,0,0,1,0
5410ede308ad6ee3090e2159,5410ede308ad6ee3090e2159,bergen,male,2001-01-01,True,norwegian,False,4,False,11.0,False,,,,,,,,4.0,4.0,1.0,4.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,1,0,0,1,1,1,1
5410edfe08ad6ee3090e21bc,5410edfe08ad6ee3090e21bc,bergen,male,1970-01-01,False,norwegian,False,2,True,42.0,True,,,,,,,,3.0,3.0,3.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,1,0
5410ee0d08ad6ee3090e21f7,5410ee0d08ad6ee3090e21f7,bergen,female,1997-01-01,True,other,True,4,False,16.0,False,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,0,0,0,0,1
5410ee1608ad6ee3090e221d,5410ee1608ad6ee3090e221d,bergen,female,1999-01-01,True,norwegian,True,3,False,14.0,True,,,,,,,,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,0,0,0,1,0,0,1
5410ee3208ad6ee3090e2286,5410ee3208ad6ee3090e2286,bergen,female,1973-01-01,True,norwegian,False,2,False,40.0,False,,,,,,,,3.0,4.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,1,0,1,0,0,0,0,0,1
5410ee4508ad6ee3090e22c4,5410ee4508ad6ee3090e22c4,bergen,male,1967-01-01,False,norwegian,False,2,False,46.0,False,,,,,,,,4.0,4.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,1,0,0,0,0
5410ee6108ad6ee3090e2324,5410ee6108ad6ee3090e2324,bergen,female,1981-01-01,False,norwegian,False,1,False,32.0,False,,,,,,,,3.0,3.0,1.0,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
