,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_inspired,control_wonder,control_spirituality,control_thrills,control_chills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,answers.musicpref.pop,answers.musicpref.classical,answers.musicpref.traditional_irish,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.folk,answers.musicpref.world,answers.musicpref.none,answers.musicpref.hiphop,answers.musicpref.dance,answers.musicpref.hip_hop
570eb76e83a73509d0e035f4,570eb76e83a73509d0e035f4,taipei_city,en,taiwanese,40.0,female,False,3.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,3,3.0,True,3.0,1,1,1,3,1,-1,3.0,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,0,0
570eb76f83a73509d0e03650,570eb76f83a73509d0e03650,taipei_city,en,taiwanese,8.0,male,False,3.0,3.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,3,4.0,True,5.0,5,5,5,4,5,-1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb77283a73509d0e03758,570eb77283a73509d0e03758,taipei_city,en,taiwanese,8.0,female,False,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,5.0,True,4.0,3,4,4,5,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,0,0
570eb73a83a73509d0e024c2,570eb73a83a73509d0e024c2,taipei_city,zh_TW,taiwanese,9.0,male,False,4.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,3,5.0,True,4.0,5,4,4,5,4,-1,5.0,5.0,3.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,0,0
570eb7b683a73509d0e04c1d,570eb7b683a73509d0e04c1d,taipei_city,en,taiwanese,8.0,female,False,5.0,1.0,5.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,2,4.0,True,5.0,1,5,1,1,3,-1,4.0,5.0,2.0,4.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb78d83a73509d0e03f7e,570eb78d83a73509d0e03f7e,taipei_city,en,taiwanese,8.0,male,False,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,3,4.0,True,3.0,5,5,4,3,4,-1,4.0,3.0,3.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,0,0,0,1,0,0,0,0
570eb76383a73509d0e0326a,570eb76383a73509d0e0326a,taipei_city,en,taiwanese,19.0,female,False,3.0,2.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,1,3.0,True,4.0,2,3,2,2,2,-1,2.0,1.0,2.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,1,0,0,0,0,0,0,0,0,0
570eb73083a73509d0e02124,570eb73083a73509d0e02124,taipei_city,en,taiwanese,28.0,female,False,4.0,1.0,4.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,3,4.0,True,3.0,2,2,4,2,2,-1,4.0,3.0,3.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,1,0,0,0,0,0,0,0,0,0,0
570eb74e83a73509d0e02b2d,570eb74e83a73509d0e02b2d,taipei_city,en,taiwanese,9.0,female,True,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1,5.0,True,3.0,2,2,1,2,3,-1,4.0,5.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,1,0,0,0,0,0,0,0,0,0
570eb71e83a73509d0e01b77,570eb71e83a73509d0e01b77,taipei_city,en,taiwanese,10.0,female,False,4.0,1.0,5.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,2,5.0,True,1.0,5,5,5,5,5,-1,5.0,5.0,5.0,5.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raining_blood,0,0,0,1,0,0,0,0,0,0,0
