_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,song,musicpref_traditional_irish,musicpref_jazz,musicpref_folk,musicpref_hiphop,musicpref_classical,musicpref_none,musicpref_rock,musicpref_hip_hop,musicpref_world,musicpref_pop,musicpref_dance
5410f69308ad6ee3090e387a,dublin,female,0,other,0,0,0,41.0,False,0,0,0,0,0,3,4,4,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,1,0,0,0,0,0,0,0,0,0
5410f69508ad6ee3090e3892,dublin,male,0,irish,0,0,0,41.0,False,0,0,0,0,0,1,4,1,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,0,1,0,0,1,1
5410f6d008ad6ee3090e3994,dublin,male,0,other,0,0,0,25.0,False,0,0,0,0,0,0,4,5,5,1,2,1,5,2,3,1,2,2,4,3,1,4,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,0,1,0,1,1,0
5410f6d008ad6ee3090e3998,dublin,female,0,irish,0,0,0,21.0,True,0,0,0,0,0,0,2,4,4,2,1,2,4,2,4,4,3,4,3,3,2,3,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,0,1,0,0,1,1
5410f6d008ad6ee3090e399c,dublin,male,0,irish,0,0,0,20.0,False,0,0,0,0,0,0,5,3,2,4,4,3,3,4,1,1,4,4,1,3,2,2,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,1,1,0,0,0,0,1,0,0,1,1
5410f6d108ad6ee3090e39ad,dublin,male,0,british,0,0,0,32.0,True,0,0,0,0,0,0,3,4,5,1,4,1,4,5,4,1,4,5,5,4,4,3,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,1,0,0,0,0,0
5410f6fd08ad6ee3090e3a51,dublin,female,1,irish,0,3,0,19.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,1,0,0,0,0,1,0
5410f76508ad6ee3090e3c03,dublin,male,0,british,0,0,0,16.0,False,0,0,0,0,0,0,4,5,5,2,2,2,1,1,4,1,1,3,1,1,1,1,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,0,1,0,0,0,0
5410f76608ad6ee3090e3c09,dublin,male,0,irish,0,0,0,26.0,False,0,0,0,0,0,0,2,2,4,2,4,4,1,3,4,1,4,5,2,2,4,2,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,1,0,1,0,0,1,1
5410f76608ad6ee3090e3c0d,dublin,male,0,other,0,0,1,32.0,False,0,0,0,0,0,0,3,4,4,4,2,2,3,2,3,1,1,3,4,2,1,1,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,1,0,0,0,0,1,1,1,1,1
