,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_chillsshiversthrills,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,song,answers.musicpref.rock,answers.musicpref.world,answers.musicpref.dance,answers.musicpref.traditional_irish,answers.musicpref.classical,answers.musicpref.pop,answers.musicpref.jazz,answers.musicpref.hip_hop
541102ae08ad6ee3090e6643,541102ae08ad6ee3090e6643,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,1.0,4.0,4.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,1,0,0,0
541102b008ad6ee3090e666c,541102b008ad6ee3090e666c,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,5.0,4.0,2.0,2.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5411036308ad6ee3090e68ff,5411036308ad6ee3090e68ff,dublin,male,1980-01-01,,irish,,,False,31.0,True,,,,,,,,1.0,4.0,4.0,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,1,0,1,0
5411041308ad6ee3090e6b77,5411041308ad6ee3090e6b77,dublin,male,1980-01-01,,other,,,False,31.0,True,,,,,,,,2.0,4.0,2.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,1,1,0,1
5411051908ad6ee3090e6f34,5411051908ad6ee3090e6f34,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,1.0,5.0,5.0,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,1
5411059908ad6ee3090e70e7,5411059908ad6ee3090e70e7,dublin,female,1970-01-01,,irish,,,False,41.0,True,,,,,,,,2.0,4.0,2.0,5.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,1,1,1,1,0
5411059a08ad6ee3090e70fb,5411059a08ad6ee3090e70fb,dublin,female,1980-01-01,,irish,,,False,31.0,True,,,,,,,,5.0,3.0,5.0,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,0,1,0,0,0
5411059b08ad6ee3090e7107,5411059b08ad6ee3090e7107,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,2.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5411061e08ad6ee3090e72f0,5411061e08ad6ee3090e72f0,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,1.0,3.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5411061f08ad6ee3090e72ff,5411061f08ad6ee3090e72ff,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,1.0,2.0,4.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,0,0,1,0,1
