_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_folk,musicpref_hiphop,musicpref_jazz,musicpref_rock,musicpref_dance,musicpref_classical,musicpref_pop,musicpref_world
570eb78b83a73509d0e03eef,taipei_city,en,taiwanese,14,female,False,4,1,5,2,5,5,4,2,4,2,1,5,True,3,3,5,3,3,3,-1,2,5,5,5,4,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73e83a73509d0e025e5,taipei_city,en,taiwanese,9,male,False,5,5,5,5,5,5,5,5,5,5,5,1,True,5,5,5,1,5,5,-1,1,3,5,1,1,3,1,dust_taiwan,0,0,0,1,0,0,0,0
570eb79d83a73509d0e044a7,taipei_city,zh_TW,taiwanese,13,male,False,4,2,4,3,3,5,1,4,4,1,2,5,True,4,2,3,4,2,3,-1,1,5,5,5,5,5,1,dust_taiwan,1,1,1,1,1,1,1,1
570eb7be83a73509d0e04ed5,taipei_city,zh_TW,taiwanese,9,male,False,3,2,3,3,2,2,3,2,2,3,1,4,True,3,3,4,3,4,3,-1,3,4,5,4,4,3,1,dust_taiwan,0,0,0,0,0,1,0,0
570eb72083a73509d0e01bfe,taipei_city,en,taiwanese,11,female,False,2,4,3,1,5,5,5,2,3,1,5,5,True,4,1,4,4,4,4,-1,5,5,5,5,2,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb75b83a73509d0e02fa8,taipei_city,zh_TW,taiwanese,10,female,False,5,1,5,2,2,5,2,3,1,2,2,2,True,4,1,2,2,4,1,-1,4,1,1,3,3,1,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb7a983a73509d0e04838,taipei_city,zh_TW,taiwanese,15,female,False,5,2,4,3,4,3,5,3,2,5,3,5,True,4,4,5,3,3,3,-1,4,5,5,4,4,4,4,dust_taiwan,0,1,0,1,0,0,1,1
570eb72483a73509d0e01d6d,taipei_city,en,taiwanese,14,male,False,5,2,5,2,5,4,5,1,1,5,5,5,True,3,1,1,3,1,1,-1,1,5,5,5,4,5,1,dust_taiwan,0,0,0,0,0,1,1,0
570eb74783a73509d0e028b2,taipei_city,en,taiwanese,17,female,False,4,5,4,4,2,5,2,5,4,1,3,2,True,4,4,4,2,3,4,-1,2,5,5,4,2,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb75783a73509d0e02e26,taipei_city,en,taiwanese,15,male,False,4,4,5,4,5,2,4,3,1,5,5,5,True,4,3,3,3,4,3,-1,4,5,5,4,4,3,3,dust_taiwan,0,0,0,0,0,0,1,0
