,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_inspired,control_wonder,control_spirituality,control_thrills,control_tension,control_familiarity,control_chills,control_tenderness,control_nostalgia,control_like_dislike,control_activity,control_positivity,control_engagement,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_tension,song_familiarity,song_chills,song_tenderness,song_nostalgia,song_like_dislike,song_activity,song_positivity,song_engagement,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,song,answers.musicpref.hip_hop,answers.musicpref.none,answers.musicpref.jazz,answers.musicpref.rock,answers.musicpref.classical,answers.musicpref.world,answers.musicpref.dance,answers.musicpref.pop,answers.musicpref.traditional_irish
5410f6d008ad6ee3090e399c,5410f6d008ad6ee3090e399c,dublin,male,1991-01-01,,irish,,,False,20.0,True,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,1,1,0,0,1,1,1
5410f6d108ad6ee3090e39ad,5410f6d108ad6ee3090e39ad,dublin,male,1979-01-01,,british,,,False,32.0,True,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,1,0,0,0,0,0,0,0
5410f76708ad6ee3090e3c1a,5410f76708ad6ee3090e3c1a,dublin,male,1978-01-01,,irish,,,True,33.0,True,,,,,,,,,,,,,,,,,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,1,0,0
5410f7fc08ad6ee3090e3e4e,5410f7fc08ad6ee3090e3e4e,dublin,male,1986-01-01,,british,,,False,25.0,True,,,,,,,,,,,,,,,,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,0
5410f88208ad6ee3090e407b,5410f88208ad6ee3090e407b,dublin,female,1984-01-01,,irish,,,True,27.0,True,,,,,,,,,,,,,,,,,2.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,1
5410fa6408ad6ee3090e46e0,5410fa6408ad6ee3090e46e0,dublin,female,1988-01-01,,irish,,,False,23.0,True,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,1,0
5410fa6408ad6ee3090e46e4,5410fa6408ad6ee3090e46e4,dublin,female,1986-01-01,,irish,,,False,25.0,True,,,,,,,,,,,,,,,,,3.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,1,1,1,1,1,1,1
5410fa6408ad6ee3090e46ee,5410fa6408ad6ee3090e46ee,dublin,male,2000-01-01,,irish,,,True,11.0,True,,,,,,,,,,,,,,,,,5.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fb2f08ad6ee3090e49d7,5410fb2f08ad6ee3090e49d7,dublin,female,1983-01-01,,other,,,False,28.0,True,,,,,,,,,,,,,,,,,4.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,1,1,1,0
5410fba108ad6ee3090e4b8b,5410fba108ad6ee3090e4b8b,dublin,female,1996-01-01,,irish,,,False,15.0,True,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fba308ad6ee3090e4baa,5410fba308ad6ee3090e4baa,dublin,female,1968-01-01,,irish,,,False,43.0,True,,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,1.0,3.0,5.0,4.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5410fc6508ad6ee3090e4e96,5410fc6508ad6ee3090e4e96,dublin,male,1987-01-01,,irish,,,False,24.0,True,,,,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,0,0
5410fc6508ad6ee3090e4e9a,5410fc6508ad6ee3090e4e9a,dublin,male,1991-01-01,,british,,,False,20.0,True,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fc6708ad6ee3090e4eb4,5410fc6708ad6ee3090e4eb4,dublin,female,1984-01-01,,british,,,False,27.0,True,,,,,,,,,,,,,,,,,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,1,1,0
5410fe0208ad6ee3090e54c4,5410fe0208ad6ee3090e54c4,dublin,female,1999-01-01,,other,,,False,12.0,True,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,1,0
5410fe8808ad6ee3090e56ad,5410fe8808ad6ee3090e56ad,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,,,,,,,,,,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,,,,,,,,,,,,,hallelujah_dublin,1,0,1,1,1,0,1,1,0
5410fe8808ad6ee3090e56b0,5410fe8808ad6ee3090e56b0,dublin,male,1988-01-01,,british,,,False,23.0,True,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541101e408ad6ee3090e63be,541101e408ad6ee3090e63be,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,1,0
541102b008ad6ee3090e6671,541102b008ad6ee3090e6671,dublin,female,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,3.0,3.0,3.0,4.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
541102b108ad6ee3090e6683,541102b108ad6ee3090e6683,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,4.0,4.0,3.0,5.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5411036108ad6ee3090e68e1,5411036108ad6ee3090e68e1,dublin,male,2000-01-01,,irish,,,False,11.0,True,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,2.0,2.0,3.0,2.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5411041208ad6ee3090e6b71,5411041208ad6ee3090e6b71,dublin,male,1990-01-01,,other,,,True,21.0,True,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,3.0,3.0,3.0,3.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,1,0,0,0,0,0,0,1,0
