_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_pop,musicpref_hiphop,musicpref_jazz,musicpref_classical,musicpref_folk,musicpref_rock,musicpref_world,musicpref_dance
570eb7aa83a73509d0e0489f,taipei_city,en,taiwanese,34,female,False,5,1,4,4,2,5,2,4,4,2,3,3,True,2,2,2,2,3,3,-1,4,4,4,4,4,4,1,hallelujah_taiwan,1,0,0,1,0,0,0,0
570eb75c83a73509d0e03009,taipei_city,en,taiwanese,7,male,False,5,4,5,1,5,4,4,2,1,1,1,4,True,3,5,5,4,3,3,-1,5,3,5,5,4,2,1,hallelujah_taiwan,0,0,0,0,1,0,0,0
570eb76a83a73509d0e0349c,taipei_city,en,taiwanese,18,female,False,4,4,2,2,2,4,2,4,2,4,3,4,True,4,4,2,4,4,4,-1,4,3,4,4,4,4,1,hallelujah_taiwan,1,0,0,0,0,0,1,0
570eb79983a73509d0e04371,taipei_city,zh_TW,taiwanese,12,female,False,4,3,5,1,5,1,4,4,3,4,3,5,True,4,5,4,5,3,5,-1,3,4,4,4,3,4,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb7a183a73509d0e045d2,taipei_city,en,taiwanese,7,male,False,4,3,4,3,4,4,3,3,2,3,2,3,True,4,3,3,5,3,4,-1,4,3,3,4,4,3,1,hallelujah_taiwan,0,0,0,1,0,0,0,0
570eb78a83a73509d0e03e96,taipei_city,zh_TW,thai,9,male,False,4,1,5,3,5,2,5,4,2,5,5,5,True,5,5,5,5,5,5,-1,5,5,5,5,5,5,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb73e83a73509d0e025f2,taipei_city,zh_TW,taiwanese,16,female,True,2,5,5,5,3,4,5,5,5,4,1,5,True,5,4,5,5,5,5,-1,5,5,5,4,5,4,3,hallelujah_taiwan,1,0,0,0,0,1,0,1
570eb7b483a73509d0e04b6c,taipei_city,zh_TW,taiwanese,10,female,False,5,1,5,4,5,3,5,2,4,2,2,4,True,3,5,4,5,5,4,-1,2,4,5,4,2,4,3,hallelujah_taiwan,1,0,1,0,0,0,1,1
570eb7af83a73509d0e049f2,taipei_city,en,taiwanese,10,male,False,5,5,4,3,5,3,3,2,2,3,2,5,True,3,3,4,4,5,3,-1,3,5,5,5,3,5,1,hallelujah_taiwan,1,1,0,0,0,1,0,0
570eb75e83a73509d0e03083,taipei_city,en,taiwanese,10,female,False,4,2,4,3,2,5,1,5,5,1,2,5,True,1,5,5,5,5,5,-1,1,5,5,5,2,5,3,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb77083a73509d0e03679,taipei_city,en,taiwanese,20,female,False,3,1,5,4,1,5,4,2,4,3,5,5,True,5,3,4,4,3,3,-1,4,5,4,5,3,4,5,hallelujah_taiwan,1,1,1,1,0,1,1,0
570eb72b83a73509d0e01f76,taipei_city,en,indonesian,40,male,False,5,1,5,5,5,1,5,1,5,3,5,5,True,5,5,5,5,5,5,-1,1,1,1,1,1,1,1,hallelujah_taiwan,0,0,0,0,0,1,0,0
570eb79883a73509d0e04314,taipei_city,zh_TW,taiwanese,11,male,False,2,3,2,1,3,5,2,4,5,1,2,2,True,3,1,2,2,2,1,-1,5,5,2,4,1,5,1,hallelujah_taiwan,0,0,0,0,0,1,0,0
570eb74b83a73509d0e02a0b,taipei_city,en,taiwanese,6,male,False,3,2,4,4,4,4,3,3,4,2,3,3,True,5,3,5,2,4,3,-1,5,1,4,4,5,3,1,hallelujah_taiwan,0,0,0,1,0,0,0,0
570eb78a83a73509d0e03ea6,taipei_city,en,taiwanese,13,female,False,4,3,5,5,4,4,5,5,4,1,3,5,True,2,3,1,3,3,3,-1,5,5,5,5,1,5,5,hallelujah_taiwan,1,0,0,1,0,0,0,0
570eb79583a73509d0e0421c,taipei_city,en,taiwanese,13,female,False,4,3,3,3,3,5,3,3,4,2,2,3,True,3,5,4,4,3,4,-1,3,5,5,4,4,5,4,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb74483a73509d0e027df,taipei_city,en,taiwanese,18,female,False,2,3,2,4,1,4,2,3,3,2,1,2,True,3,2,2,2,2,2,-1,3,3,3,2,2,4,1,hallelujah_taiwan,0,0,0,1,0,0,0,0
570eb77b83a73509d0e03a1b,taipei_city,en,taiwanese,27,male,False,4,4,4,4,2,3,2,4,3,2,1,3,True,4,2,2,3,2,2,-1,4,4,3,4,3,4,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
