,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,answers.musicpref.world,answers.musicpref.folk,answers.musicpref.classical,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.pop,answers.musicpref.jazz,answers.musicpref.hiphop
570eb7af83a73509d0e04a09,570eb7af83a73509d0e04a09,taipei_city,en,taiwanese,22,female,False,4,1,5,2,4,4,4,4,3,3,4,3,True,3,2,2,4,2,2,-1,2,4,4,2,3,3,1,humming,0,0,1,0,1,1,1,0
570eb73483a73509d0e02277,570eb73483a73509d0e02277,taipei_city,zh_TW,taiwanese,14,male,False,2,2,4,1,3,4,4,2,4,2,4,5,True,5,3,2,4,3,2,-1,2,5,2,5,5,2,1,humming,0,1,1,0,0,1,0,0
570eb73283a73509d0e021d4,570eb73283a73509d0e021d4,taipei_city,en,taiwanese,18,male,False,4,1,4,4,2,3,2,3,4,3,3,3,True,3,1,2,2,3,2,-1,4,3,3,4,3,3,3,humming,1,0,0,1,0,1,0,0
570eb78a83a73509d0e03eb8,570eb78a83a73509d0e03eb8,taipei_city,en,taiwanese,31,female,False,5,2,3,4,3,4,3,4,3,4,1,4,True,5,3,4,4,5,5,-1,3,2,3,2,3,2,1,humming,0,0,0,0,0,1,0,0
570eb76e83a73509d0e0360d,570eb76e83a73509d0e0360d,taipei_city,en,taiwanese,13,female,False,4,3,5,4,3,5,4,4,4,3,3,3,True,3,3,3,4,3,3,-1,4,2,2,4,4,2,2,humming,0,0,0,0,0,1,0,0
570eb74383a73509d0e0276d,570eb74383a73509d0e0276d,taipei_city,zh_TW,taiwanese,14,female,True,1,2,5,4,3,5,2,4,3,2,3,5,True,3,3,3,3,3,3,-1,2,3,1,3,2,2,1,humming,0,0,0,0,1,1,0,0
570eb76983a73509d0e0345e,570eb76983a73509d0e0345e,taipei_city,en,taiwanese,32,male,False,4,2,4,3,2,5,4,5,3,2,4,3,True,4,4,3,4,3,5,-1,4,5,5,5,4,2,1,humming,0,0,1,0,0,1,1,0
570eb73d83a73509d0e025b3,570eb73d83a73509d0e025b3,taipei_city,zh_TW,taiwanese,10,female,False,2,2,3,2,5,1,3,3,3,5,3,3,True,2,2,2,2,2,3,-1,2,3,3,3,3,4,1,humming,1,1,0,1,1,1,0,1
570eb7a583a73509d0e04706,570eb7a583a73509d0e04706,taipei_city,en,taiwanese,16,male,False,3,3,3,3,3,3,3,3,3,3,3,3,True,1,1,1,2,1,2,-1,3,2,2,3,2,2,3,humming,1,0,0,0,0,0,0,0
570eb75983a73509d0e02ef4,570eb75983a73509d0e02ef4,taipei_city,en,taiwanese,9,male,False,3,2,5,3,3,4,2,4,2,3,2,4,True,5,3,4,4,3,4,-1,4,5,5,5,4,5,1,humming,0,0,0,0,0,1,0,0
570eb79983a73509d0e0438c,570eb79983a73509d0e0438c,taipei_city,en,taiwanese,15,female,False,5,1,4,1,3,5,5,1,3,3,3,5,True,2,4,4,5,3,3,-1,2,2,2,5,2,2,1,humming,0,0,1,0,0,0,0,0
570eb7a883a73509d0e047fc,570eb7a883a73509d0e047fc,taipei_city,en,australian,6,female,False,5,3,5,4,4,1,2,4,3,5,3,3,True,3,2,5,4,4,3,-1,3,2,3,3,3,3,1,humming,0,0,1,0,1,1,0,0
570eb78f83a73509d0e04071,570eb78f83a73509d0e04071,taipei_city,en,taiwanese,22,male,False,4,4,4,3,5,4,4,4,4,4,2,4,True,4,3,3,3,4,3,-1,2,4,2,4,4,2,2,humming,0,0,0,0,0,1,0,0
570eb7b283a73509d0e04ad0,570eb7b283a73509d0e04ad0,taipei_city,en,taiwanese,21,male,False,4,1,4,2,5,4,4,2,2,2,3,4,True,4,2,4,4,2,2,-1,2,5,5,5,4,4,4,humming,0,0,1,1,0,1,1,0
570eb7ac83a73509d0e0491c,570eb7ac83a73509d0e0491c,taipei_city,en,taiwanese,18,female,False,2,2,4,2,4,4,2,4,4,2,2,4,True,2,2,3,2,2,3,-1,4,2,2,2,2,2,1,humming,0,0,0,0,0,1,1,0
570eb7b883a73509d0e04d0e,570eb7b883a73509d0e04d0e,taipei_city,zh_TW,taiwanese,28,female,False,4,2,5,4,3,5,4,4,4,4,1,3,True,4,2,3,1,3,3,-1,3,4,4,4,1,4,1,humming,0,0,0,0,0,1,0,0
570eb7b483a73509d0e04b6f,570eb7b483a73509d0e04b6f,taipei_city,en,taiwanese,18,female,False,2,2,4,4,2,2,2,4,4,2,2,3,True,3,3,4,3,3,3,-1,3,3,3,3,3,3,4,humming,0,0,0,0,0,1,0,0
570eb77a83a73509d0e039ce,570eb77a83a73509d0e039ce,taipei_city,en,taiwanese,30,female,False,4,1,4,4,2,4,3,5,5,4,2,3,True,3,2,2,1,2,2,-1,4,5,4,5,5,5,1,humming,0,0,0,0,0,1,0,0
570eb76c83a73509d0e03553,570eb76c83a73509d0e03553,taipei_city,en,taiwanese,29,male,False,4,1,4,4,2,4,4,4,4,3,2,4,True,2,3,4,2,3,3,-1,4,5,5,5,4,2,3,humming,0,0,0,0,1,1,1,0
570eb7b683a73509d0e04c4d,570eb7b683a73509d0e04c4d,taipei_city,en,taiwanese,47,male,False,4,5,4,2,4,4,2,4,4,4,3,5,True,4,2,2,2,3,2,-1,4,4,4,4,2,2,2,humming,0,0,0,0,0,1,0,0
570eb72c83a73509d0e01ff8,570eb72c83a73509d0e01ff8,taipei_city,en,taiwanese,16,male,False,4,2,4,3,3,4,2,4,3,4,3,2,True,2,2,4,2,3,2,-1,2,4,3,4,3,2,1,humming,1,0,1,0,0,1,0,0
570eb74283a73509d0e0272b,570eb74283a73509d0e0272b,taipei_city,en,taiwanese,34,male,False,4,1,4,5,2,4,2,5,5,4,3,4,True,2,2,2,3,3,2,-1,2,4,4,4,4,4,1,humming,0,0,1,0,0,1,1,0
570eb7b383a73509d0e04b60,570eb7b383a73509d0e04b60,taipei_city,zh_TW,taiwanese,11,male,False,2,4,5,4,4,5,1,4,3,1,3,4,True,5,5,5,4,5,4,-1,5,5,5,5,5,5,5,humming,1,0,0,0,1,1,0,1
570eb76d83a73509d0e0359a,570eb76d83a73509d0e0359a,taipei_city,en,taiwanese,12,female,False,2,2,4,2,4,4,2,4,2,2,2,3,True,4,4,4,2,2,3,-1,3,3,2,4,4,4,1,humming,0,0,0,0,0,1,0,0
570eb76683a73509d0e03336,570eb76683a73509d0e03336,taipei_city,en,taiwanese,7,male,False,3,2,5,3,4,2,3,3,2,4,3,5,True,4,4,4,4,3,4,-1,3,5,2,3,4,3,1,humming,0,0,0,0,0,1,0,0
570eb7ac83a73509d0e04920,570eb7ac83a73509d0e04920,taipei_city,en,taiwanese,18,male,False,2,2,5,3,5,1,5,1,5,5,5,1,True,3,3,4,5,2,5,-1,5,2,1,3,3,3,1,humming,0,0,0,0,1,0,0,0
570eb79f83a73509d0e04532,570eb79f83a73509d0e04532,taipei_city,en,taiwanese,12,male,False,2,1,5,3,5,1,2,1,4,5,2,4,True,2,3,5,4,2,5,-1,5,3,3,5,4,4,1,humming,0,0,0,0,0,0,0,1
570eb72383a73509d0e01cfb,570eb72383a73509d0e01cfb,taipei_city,en,taiwanese,11,male,False,4,2,2,2,3,2,3,2,3,3,3,5,True,4,4,5,4,4,4,-1,4,3,3,5,3,3,1,humming,0,0,0,0,0,1,0,0
570eb79f83a73509d0e0455b,570eb79f83a73509d0e0455b,taipei_city,en,taiwanese,6,male,False,4,1,5,3,4,2,3,3,3,3,2,5,True,5,5,5,5,5,5,-1,5,5,5,5,5,5,5,humming,0,0,0,0,0,1,0,0
570eb78b83a73509d0e03f2a,570eb78b83a73509d0e03f2a,taipei_city,en,taiwanese,18,male,False,4,4,4,4,2,4,3,5,3,2,3,3,True,2,3,3,2,3,3,-1,3,3,3,3,3,3,3,humming,0,0,0,0,1,1,0,0
570eb73483a73509d0e0228d,570eb73483a73509d0e0228d,taipei_city,zh_TW,taiwanese,7,male,False,2,2,4,4,4,5,2,4,4,2,1,3,True,2,4,5,3,4,3,-1,5,4,3,4,3,4,1,humming,0,0,0,0,0,1,0,0
570eb79c83a73509d0e04457,570eb79c83a73509d0e04457,taipei_city,en,taiwanese,14,female,False,3,1,5,4,2,4,2,5,4,2,3,4,True,3,2,3,3,3,3,-1,2,2,2,4,4,2,1,humming,0,0,0,0,1,0,0,0
