,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,answers.musicpref.world,answers.musicpref.pop,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.folk,answers.musicpref.hiphop,answers.musicpref.classical
570eb76e83a73509d0e035f4,570eb76e83a73509d0e035f4,taipei_city,en,taiwanese,40,female,False,3,1,3,3,3,3,2,5,3,3,3,3,True,3,1,1,1,3,1,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb78783a73509d0e03dc8,570eb78783a73509d0e03dc8,taipei_city,en,taiwanese,17,female,True,5,1,4,2,4,5,2,4,4,3,3,4,True,4,4,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb76f83a73509d0e03650,570eb76f83a73509d0e03650,taipei_city,en,taiwanese,8,male,False,3,3,5,2,2,5,4,2,2,4,3,4,True,5,5,5,5,4,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77283a73509d0e03758,570eb77283a73509d0e03758,taipei_city,en,taiwanese,8,female,False,3,3,3,3,3,3,3,3,3,3,3,5,True,4,3,4,4,5,5,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb73a83a73509d0e024c2,570eb73a83a73509d0e024c2,taipei_city,zh_TW,taiwanese,9,male,False,4,1,5,2,4,4,4,3,2,4,3,5,True,4,5,4,4,5,4,-1,,,,,,,,slayer_taiwan,0,0,0,1,0,0,0,0
570eb77583a73509d0e0382e,570eb77583a73509d0e0382e,taipei_city,zh_TW,taiwanese,6,male,False,4,2,4,2,4,2,4,3,4,4,4,2,True,2,2,2,2,2,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7b683a73509d0e04c1d,570eb7b683a73509d0e04c1d,taipei_city,en,taiwanese,8,female,False,5,1,5,3,4,3,4,3,1,2,2,4,True,5,1,5,1,1,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77983a73509d0e039af,570eb77983a73509d0e039af,taipei_city,en,taiwanese,10,male,False,4,2,3,2,3,4,2,4,2,3,4,5,True,4,5,4,4,3,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb72083a73509d0e01bfd,570eb72083a73509d0e01bfd,taipei_city,en,taiwanese,12,male,False,5,3,5,3,5,4,2,4,4,3,3,5,True,3,4,4,3,2,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,0
570eb78d83a73509d0e03f7e,570eb78d83a73509d0e03f7e,taipei_city,en,taiwanese,8,male,False,3,3,3,3,4,2,3,2,2,4,3,4,True,3,5,5,4,3,4,-1,,,,,,,,slayer_taiwan,1,0,0,0,0,0,0,0
570eb76383a73509d0e0326a,570eb76383a73509d0e0326a,taipei_city,en,taiwanese,19,female,False,3,2,3,5,2,4,4,4,2,2,1,3,True,4,2,3,2,2,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,1
570eb73083a73509d0e02124,570eb73083a73509d0e02124,taipei_city,en,taiwanese,28,female,False,4,1,4,1,5,4,2,4,4,4,3,4,True,3,2,2,4,2,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77183a73509d0e036f4,570eb77183a73509d0e036f4,taipei_city,zh_TW,taiwanese,15,female,False,5,1,5,3,5,2,2,4,4,4,3,3,True,3,3,3,1,1,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb74e83a73509d0e02b2d,570eb74e83a73509d0e02b2d,taipei_city,en,taiwanese,9,female,True,3,4,2,2,4,2,2,3,2,2,1,5,True,3,2,2,1,2,3,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb73483a73509d0e0227b,570eb73483a73509d0e0227b,taipei_city,en,taiwanese,10,female,False,4,1,5,1,5,5,4,1,4,5,3,3,True,3,4,5,5,5,5,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
